pretty_comp,bulk_modulus_kv
NaYSe2,42.967
Mn(NbS2)2,66.589
BeCuPd2,160.467
CrSi2,183.21099999999998
KSmTe2,30.022
BaSrHf,14.732999999999999
PrAlO3,207.0
HfAlCu2,135.033
Mn2AlV,195.533
DyPPt,138.911
Al2CuO4,190.233
ZrRu,185.833
KV(CuSe2)2,27.178
KSc2Be,23.756
Dy(SiRh)2,156.122
BaGaBr2,24.022
DyCo5,157.822
PuB2,151.144
Tl(CoSe)2,49.943999999999996
HfAlIr2,219.067
Ca3AsCl3,41.766999999999996
RbAgO,29.421999999999997
CdPdAu2,111.87799999999999
CaTi2O5,88.978
BaYTe,15.633
YCuSn,80.35600000000002
CePO4,98.6
MnCuPd2,148.63299999999995
ErTlS2,51.544
Er(SiPd)2,136.422
CaBe2Rh,84.64399999999998
Sm2O3,143.54399999999995
Np2InRh2,118.333
ScBeRh,127.311
AsRuBr,49.433
LiSi2N3,160.578
Ca4Mg3H4,49.7
KHo2CuS4,60.556000000000004
NaNO2,32.711
TlGaO2,88.678
SrBeV,33.467
MgTe2,40.733000000000004
MnBeCo4,178.13299999999995
HoHg,74.133
MnSbPd2,112.8
CdCO3,107.73299999999999
MgScGa,57.766999999999996
AlCoO3,190.433
Cr2CoO4,237.033
LiBiF5,32.067
HoHg2,72.933
BaHI,29.63300000000001
TbMn2,140.667
Ba2NbTl,26.333000000000002
Ca(CrN)2,124.322
DyNi2,124.9
Sc3Pb,64.322
Be4TeO7,187.967
Mg3(PO4)2,84.98899999999998
CeZnSbO,63.956
Ba(MgBi)2,34.056
PrH3,84.35600000000002
UGa2,96.27799999999999
Sr(NdS2)2,72.056
HfCo2,203.833
Zn2Bi2O5,83.22200000000002
Na4SnS4,27.833000000000002
UCoAs2,127.56700000000001
Rb3NaBe2F8,37.1
PrCr2Si2C,161.289
K2TeO3,29.011
Li2SO4,63.989
SrGe(PO4)2,93.4
LaC2,100.211
TiTc,208.1
ErTiSi,95.822
Ca2PI,37.489000000000004
VFe3,214.36700000000002
Be2CdRu,127.6
BeNb2Br,77.467
RbErS2,49.288999999999994
BaCuAs,54.611000000000004
GaBiO3,182.067
Ba(MnSb)2,38.455999999999996
Sn(WO4)2,55.888999999999996
Ca2GeO4,87.96700000000001
SmTmMg2,42.367
SrTeO4,81.833
HfAlFe2,175.2
VInPt,125.244
NbAs,162.54399999999995
Ba(FeS2)2,51.288999999999994
PaC2,195.278
Ta2AgF2,18.833
CeNbO4,143.467
TePdI2,28.644000000000002
KH3C2O3,20.589000000000002
NaY2In,46.233000000000004
KInO3,76.933
YBe2Cu,75.111
NpSbTe,58.922
BeCrTe2,55.6
SrTcO3,192.233
KTa2Be,82.333
TiGeTe6,25.8
KBe2BO3F2,79.411
BaTeO3,49.622
Sm2RuAu,99.73299999999999
Sn7Ir5,134.95600000000002
MnSbPt,94.167
KBe2Co,37.311
TiHgO3,192.456
ScHO2,124.344
MgTi3,85.26700000000002
NiI2,24.511
Na2BeFe,34.233000000000004
CuNiSb2,90.822
Yb5Ge3,41.443999999999996
Na2CeO3,96.956
Sm2As4O9,46.9
CeS,86.8
Cd(InSe2)2,33.455999999999996
Mg(CuN)2,106.167
RbTe6,23.5
Hf2Zn,112.98899999999999
In5AgSe8,31.267
DyAlAg2,87.6
MnAlF5,85.333
NaMgF3,70.078
KBaCr,7.532999999999999
Ca(NO3)2,38.1
Ag3AsSe3,29.44400000000001
MoW(SeS)2,37.989000000000004
H4IN,12.155999999999999
TbZn2,67.067
YZn,54.8
Tb2SO2,126.43299999999999
CaBHO3,84.133
Sc(VGa2)2,119.756
Tl3SbSe3,21.63300000000001
MoWSeS3,42.467
Ca3N2,76.956
Be2TlTc,147.689
Ti2AsRh,138.7
Tb3CuGeS7,72.789
NbSiRh,219.856
PaAs2,112.51100000000001
BaVS3,52.122
Ca2SnN2,75.1
SrTaBe,60.766999999999996
TiCd,85.178
NaBeV2,86.311
Na2CuP,36.6
BeFePt,176.25599999999997
HfGeO4,227.333
Ba2MgGa,21.63300000000001
Li2MnO3,102.01100000000001
Li5MnO5,82.53299999999999
FePO4,76.289
SmCoSi3,117.244
YbI2,15.967
ScBeSn,69.444
BeNi3,190.1
NdNiC2,150.033
Pr3CuSiS7,70.133
NaBeBi,24.2
Li2CeAs2,52.511
Sm2Tl,53.167
CrPbO3,181.86700000000002
Ba2CaTa,17.933
Ta2H,204.456
YbBRh3,170.8
AuI,16.122
Sr2BrN,50.788999999999994
NbF3,95.03299999999999
TmN,183.267
BeCoHg2,84.811
Y(SnO2)2,109.56700000000001
K2BaSe,10.444
Li2MnBe,64.64399999999999
RbGeI3,20.666999999999998
DyScO3,177.81099999999995
SrBeSb,43.833
Ca2N,39.211
Zn4(B2O)3,189.63299999999998
BaBeCl2,29.433000000000003
KTlCl4,16.889
GaNi3,179.767
LiHo2Ga,55.867
TlBiTe2,32.510999999999996
Be2GaOs,154.411
MnSiNi2,181.967
MnBe2In,103.744
RbDyS2,47.722
Hg3C,61.467
SrZrBe,39.533
V5Sb4,84.01100000000002
Tc2AsPt,209.067
NpNi2,169.86700000000005
HoVO4,143.278
Mn2SnW,229.9
LiPt,124.744
HoPb3,53.133
NaBeTl2,29.544
TaAlO4,231.4
Ta3SBr7,39.611
Tb3TlC,42.6
PbBrCl,40.222
CoSb,131.433
CaTe,43.067
BeTc2Hg,155.1
MgP4,61.1
NbI2O,36.389
Rb(SbSe2)2,24.489
LiSbTe2WO2,109.556
Sr(AsPd)2,82.46700000000001
Er2TeO2,108.867
Ta2BeCo,193.433
Th3Sb4,80.7
LiTiBe2,67.056
ErPt3,184.6
LiI,22.622
CoPtF6,68.133
Pb(CO2)2,36.644
MnCoTe,111.0
NdC2,108.756
LiPaPt2,135.933
BeVNi4,186.333
HoTe,68.133
BeW2Se,154.556
KTiPS5,20.189
Yb3TlC,18.733
Ti3O,145.622
NdCuS2,77.889
HfZrO4,216.178
GaAgSe2,54.478
CoTe(PbO3)2,128.667
Er2InAg,70.467
Na3GaS3,28.13300000000001
LiMgP,56.8
