pretty_comp,et_c55
Ho6FeBi2,41.4
Ti2CoIr,65.1
Ti2AlCr,18.6
Nd(SiAu)2,63.4
MnSnPt,10.9
Ge3As4,34.8
BeNb2P,17.6
PrClO,32.7
ScBRh3,72.3
Y2In,34.4
TbTlAg2,39.3
TiCd,40.9
TmAu,38.5
MnBeNi2,85.5
SnAs,27.1
Na2Ti2Sb2O,24.5
CaBiClO2,21.5
Ba2HfS4,22.5
TaSb2,69.0
H2C,8.8
ZrSe3,6.1
LiBeV,55.3
ScIr2,122.0
PdPbO2,3.4
DyBRh3,69.0
Ca3BiP,19.7
Sc2BeCo,2.2
CrI2,8.0
PrAgPb,41.3
Yb(SiPt)2,49.0
Ba4HfCl,3.7
Sm2IrRh,34.2
K2NaAs,9.7
TaBeTc,9.1
RbSmS2,28.2
MgCoGe,34.7
Lu(FeO2)2,54.8
Ho(CuO2)2,58.8
VPbO3,48.7
Th(MnGe)2,85.3
Hg3(SCl)2,9.6
TaTcPb2,47.4
BaSi2Pd,29.0
Mg2FeH6,57.9
MnPO4,85.2
NaAlTe2,12.2
YbS,35.2
KSc2F7,18.0
Rb2Se,5.9
SbSBr,12.7
MnZn,106.4
NdBiPd,33.6
Sr4S3O,29.5
Rb2CoF6,11.4
ZnCdPt2,61.8
Li7SbO6,71.9
Li3LaP2,46.1
Ti5Si3,84.2
TmSnPd2,32.2
HfB,52.2
InAuO2,16.0
KBi2F7,16.7
Ce(FeSi)2,84.5
CoW,47.5
K2B2Se7,18.2
Li2Mn(CO3)2,21.7
NaSbSe2,15.3
Ba2Mn2Sb2O,31.0
NaScS2,33.8
Al8Mo3,104.2
NiAgO2,16.6
KNdO2,24.6
Lu6FeSb2,52.0
LiPb,13.5
Cr3Rh,63.9
Cr2S5,7.7
Pr2PbSe4,26.2
RbCeS2,26.1
NdTeCl,29.6
Hf(CoSi)2,104.6
Ti2AsP,88.9
BPbO3,172.5
DyRh,37.0
YbNi2B2C,49.1
CaCrO4,32.9
Ba(GaTe2)2,16.5
NdH3(CO2)3,33.6
ErRh2Pb,53.1
ErS,21.4
Ca(SiAu)2,39.1
PrP5,31.3
SmCl3,9.1
NaSO4,22.5
As3W2,93.3
ZrNiSn,65.4
Rb2NiF6,11.7
B2AsP,161.8
BeCdCu2,46.8
PrBi2ClO4,14.6
CaCl2,11.8
CaBeBi2,9.5
SrBe2Ni,38.2
Rb2IrF6,18.0
Sr2Si,30.5
CdSO4,21.8
ZrS,23.8
V2CrFe,70.5
TiCo,50.3
BePbCl2,5.9
ZrBeGa,63.9
TiCdHg2,40.4
PrTmMg2,39.5
TmH2,75.8
Ca2Co2O5,53.0
Fe2Cu(AsH)2,30.5
YTi,27.8
Tl(FeS)2,13.7
Zr2BeGe,37.4
Ag2PbO2,26.8
PdBr2,10.8
NaSbF6,4.4
HfBeCd,59.3
CrFe2Si,92.2
Na2H4Pt,10.3
PaTe2Au,36.5
UGe3,72.1
Na4Br2O,12.4
Ba4ScW,1.2
TmAg,40.0
Sm3Th,30.6
ZrB6,8.3
Na6MnCl8,12.0
V4GaS8,52.9
LaBeP,89.9
Li5AuO4,46.9
As2Ir,81.4
VSnRh2,59.4
Tb(CuS)2,2.8
FeSbO4,87.3
BaV4ZnO8,40.1
NaBeCr2,11.4
CaSbAu,18.8
NaH2Pd3,36.5
PmDyRu2,35.3
PrCuSO,34.1
Ag2HgI4,8.2
RbNO3,2.7
SrAgAs,28.5
Co3TeO8,11.0
Pr3GaC,3.8
NaAuO2,25.0
TbH3,96.5
Zr2Fe3Ge,47.7
MnCoTe,9.5
Ca4BeIr,13.8
LaAlO3,161.9
Sm(SiOs)2,85.5
Zr2Ni,25.4
Zn2AgSbO6,60.4
Tb(CrSi)2,96.8
Zn(HO)2,26.8
BeTcHg,29.9
ScBrO,9.0
LiDySe2,20.2
GeRh,65.2
HoCo2,54.8
Pr(AgGe)2,48.4
Na3LiP2O7,18.3
Rb3Tl,3.3
CuCClO,14.7
Sm2MgRu,12.4
RbC2I3N2,2.8
K3SbO4,29.1
Li7VN4,48.2
VFeH2O5,42.4
AlCuSe2,38.4
DyAlAg2,22.7
YSbPt,47.2
Be2C,203.7
ErVO4,47.6
YbBiPd,20.0
Ag3SI,7.1
YbGeO3,141.0
Sm3CuSnS7,32.7
RbH3O2,7.9
BeV2Si,130.8
Na2Te,12.5
Pr(CoSi)2,102.7
NdCo5,62.1
Ti2NiS4,63.5
RuAu3,68.0
KBeNi2,14.2
TiCo2Si,66.8
ScAlO3,156.0
HoPb3,19.1
SrPdF4,26.1
UPt,31.9
Cr3Os,99.0
Ca2N,3.6
Na8PO3,13.1
YRh3C,74.8
ErAl3,58.8
ThGeO4,52.4
NaAuC2,2.5
KLiMnS2,8.1
SrB6,76.4
BaInMo,19.0
Sr(CoGe)2,61.9
Sm3Ga,26.8
TiSiPt,87.2
SmAgPb,41.8
ThNi2,19.8
BaTeO3,22.1
BeZnIr2,33.4
Sr2BeOs,5.0
Ca2MgBe,11.2
DyMgIn,53.4
Al2CdS4,53.7
Be2ZnW,54.1
NiGePd,45.4
NaCuO2,61.9
ZnSnO2,17.4
HfBeTc,43.3
TiAsPd2,14.9
Tb2C,9.9
LiMnPd2,62.4
Sm2O3,64.4
K3NaCr2O8,15.8
DySI,9.2
RbAu,11.9
Na2PtS2,20.6
DyScO3,103.9
Rb2RhF6,15.7
NpTe,19.9
Pb2Au,12.7
AsCl5,2.8
Rb2MnF5,17.0
NdIr2,86.0
K2CuF4,16.1
Li2CeAs2,28.9
NdTmMg2,40.2
SrSe,21.8
MgTe,32.1
GeTe,25.9
Ti2BeCo,74.0
PmHoMg2,40.9
Bi2SeO2,15.7
NaHg2,7.1
NdTeF,48.6
TaAlO4,69.7
Ho2Fe2Si2C,62.2
SmLuRu2,39.2
Np(CoSi)2,101.3
PrOF,60.6
MnO,81.6
MgSnO3,52.9
TbFe2,27.8
AlClO,14.2
Ba3Nb2ZnO9,56.9
Nd(SiAg)2,67.5
Sm2AgRu,28.7
Rb2MnBr4,3.3
HoSnPd2,22.1
Sr2H3I,24.0
BaCuP2,10.3
MnSbRh,4.8
PuSi2,73.5
SnMo3,81.1
Nb(Te2I3)2,7.0
NiBr2,4.4
VFe2Sn,60.6
LiAlVO4,22.5
PrCoSi,33.2
Hg3(SeCl)2,9.1
NaLu3,21.1
ZrTaBe2,77.6
TiAg,53.6
Be2CuIr,109.1
Ti2ZnTc,59.6
Pr2CdSe4,20.8
FeSnRh2,89.0
HfPd,41.0
Ba2ErRuO6,68.8
MgRe3,129.4
Mn(AlS2)2,3.8
SrAgBi,20.8
Sc2TlAg,45.7
SiNi3,120.1
CdSO4,25.6
YbSe,29.0
TiSi2,72.3
USbRh,29.5
BaYAgTe3,9.8
CaMn2(Si2O)2,40.5
RbNaH2,11.0
Sc2NiIr,62.1
Rb2SnAs2,6.7
V3Ir,95.5
Be2CoSi,147.8
Be2FeCo,135.6
TaS,106.8
CaPd,27.9
TcBr3,9.3
CuAgO2,5.1
NbCoSb,45.1
KAg2AsO4,22.0
MgSiO3,178.3
Fe3Pt,150.2
ErTaO4,100.2
PbAu2,20.8
TlSb,17.2
V3B2,199.7
Th2Zn,33.9
Na3PS4,2.5
PmF3,98.8
SrCeN2,60.5
Li8NbO6,65.2
HoCuS2,42.4
RhPb2,21.3
Ba2YGa,21.0
HfS3,9.0
Sr(MnAs)2,42.8
VCuO4,6.0
K2NaInAs2,9.8
U3Cl,30.7
Fe(CoSe2)2,48.8
HfMnBe,40.9
ZrSnRh2,57.8
CaTa4O,84.9
Na2Hf2O5,13.8
Li2O,62.5
TmBRh3,71.6
RuI,3.6
K2PtCl6,13.2
MgSiO3,73.5
Ca(NdTe2)2,20.3
Nb2CrAs,14.6
Ag2O,34.6
TbI3,5.3
LiPaRu2,22.3
LiCoO2,59.8
ZrNiP,16.0
Li2CaGe,32.6
ErPd3,74.3
PrSb,20.5
ScBIr3,89.6
CaMgSi,39.1
MgMo2O5,13.3
Sm(SiAg)2,65.4
MnGaFeCo,70.5
Dy(MnGe)2,75.0
LiMnO2,15.1
K3BrO,11.3
Pr2(Zn2Ge)3,48.8
LuCuSi,66.0
CoH4(BrO)2,3.7
Ti2Cu3,65.3
LiNiO2,9.4
Y3Mg,27.1
LiMgAs,38.8
KMgAs,13.7
Ba2YSb,16.4
TlNO2,14.3
CrMoF6,51.7
KSnOs,7.6
TaSe2,17.0
Rb2PtSe2,15.2
BaLiPd2,25.5
SrBeV2,19.5
NiF3,71.0
VOF,11.7
Be3N2,84.1
ErC2,4.6
Lu2ZnTc,53.0
Rh2S3,101.6
HfBeCo4,49.2
NaBH4,11.8
TaBeRu,50.4
SbRu,74.7
ZrO,95.9
TiBeCd2,21.7
NdBrO,36.0
HoFe2,32.7
CaTl2O4,42.4
TiFeO4,55.9
Ti2AlTc,66.0
Li2MnSiO5,66.7
DyYCu2,36.5
SrTl,25.3
Er2SO2,84.8
ZnSbF6,36.4
NdVO3,63.2
TlCrTe2,22.8
YbAu,31.5
USb,10.7
SmSF,56.7
ThZn2,32.6
LiInSe2,23.1
K2RhF6,14.9
UPt3,34.0
Ti2MnAl,25.2
Co3W,118.2
AlSCl3O2,4.3
BaB2F8,17.6
TlFeF3,20.4
PmSnRh2,31.3
TeRhCl,18.3
TiZnF4,14.1
SrTiO3,113.0
KTeHOF4,12.4
Ca(BH)2,117.7
RhBr3,6.3
Ni3Au,77.2
Rb2Si3SnO9,40.7
ZrSiO4,113.6
KBeTc,5.6
KH4O2F,13.4
TiAlFeCo,114.8
NbAlRu2,108.2
NaZnAs,11.3
RuO2,179.3
HoZn2,36.8
BeSi2W,11.9
Hf2Pd,74.1
CdSbS2Br,20.0
NdCo2,35.3
KAgO2,21.2
LiVO2,60.4
U(CoSi)2,106.2
Be2Cr,137.6
Rb3Na(RuO4)2,13.1
Ba4PdW,4.9
Ba2LuNbO6,81.1
Ca2Sn3O8,51.2
Na4CdP2,7.1
TeMoS,0.6
MgFePO5,60.3
SmCuSeO,26.5
Na3AlAs2,20.3
Tm2RuPt,52.8
TiAlO3,50.3
U(CrC)4,127.6
MnBe2Cd,40.9
Rb8PO3,1.2
BHC4NClF4,7.4
VBiO4,35.5
Rb2NaVF6,26.2
Y3AlC,59.4
Na2S,20.3
K3PO4,27.1
RbSbS2,8.9
Zn2Cu(AsO4)2,39.3
Na2SrBe,6.7
RbTl2Bi,9.2
PdSe2O5,15.5
UH3,61.6
KNaPrNbO5,29.4
CaPtO3,68.8
AgN3,3.6
AgCNO,0.4
ZrSbRu,39.8
ThC,82.7
RbCaF3,20.5
K2FeCu(CN)6,7.2
B2Ru,207.0
TmRh,43.5
MgRh,74.3
Bi2TeSe2,22.8
SiS2,4.6
VAu4,52.9
BaSrPb2,4.8
BeZnFe2,90.2
Na3BS3,16.9
RbBa3,6.8
TmTl,29.3
BeSiTe,26.2
MgZr3,50.1
UN2,69.0
BeGeN2,150.8
BeBiPb,4.1
Mn2Be2Te,56.2
KAs4BrO6,4.2
NaLiICl,10.4
BaSrCl2,11.5
MnSbO4,47.4
Na2TlBi,20.6
AgC,17.8
Ba2Mn3(SbO)2,45.1
Mn2P2O7,51.8
Tb(GeRh)2,60.4
BPS4,12.3
TmNp3,22.1
Sc2ZnTc,51.4
DyGeAu,54.5
AlTlSe2,12.8
RbTlO2,29.9
LiCaCrF6,47.3
ZrSnPd2,58.9
Tm2Al3Si2,61.2
Sr2HN,25.6
HfRu,76.6
LiYb3,11.9
Ca2NCl,37.6
DyFeC2,65.9
AlCuTe2,32.1
AlAgSe2,19.4
KTbS2,30.7
Co(BW)2,200.5
MnAu2,57.2
AcI3,6.8
U2InRh2,41.6
NdHo3,32.8
ZrCl4,4.2
FeNi,142.6
Ti2AsW,51.7
KHS,5.9
PrY3,30.7
SrBeRh,16.3
Rb3Mo,3.8
DyTl,31.1
BaP3,25.7
Ti3O,63.3
RbHO,7.7
HoBr3,6.1
MnInCu2,50.5
Sc2AlCu,60.0
Ca3(GaNi)4,33.5
TiVO4,49.1
BeGa2Mo,108.6
Ti4ZnS8,33.2
Sm3Mg,29.0
AsS2NF6,13.1
U(NiP)2,21.3
LiEr2Ru,31.2
Li8PO3,15.8
BeCr2Cu,122.1
KFeF3,31.9
DyMg3,41.6
UPS,58.7
TaAlCo2,92.0
K4Br2O,5.4
LiAsF6,26.4
ReSn3,21.3
CrGe,86.7
CaMg(CO3)2,42.3
LiBeCo,48.5
SrMg2N2,83.6
BaSiO3,215.4
YB6,36.9
Mn3AlC,62.1
DyBi,21.5
KTm,1.7
BeGaW2,72.3
UFeS3,23.0
TiHgO3,77.4
MnBe2Se,8.6
Sc2SO2,81.1
LuCo2,63.9
BeMo2W,56.2
BeV2Cr,54.8
Rb(CoS)2,30.3
SmFeP,52.4
Ag2SnHgSe4,8.9
Na3UO4,52.6
K2SnCl6,12.6
SmCrO3,64.0
NaBeCo4,23.3
Sm2In,25.8
UFeB4,223.0
SnHgF6,20.4
ScAlCo2,81.9
Tl2Au4S3,7.9
Co2P,100.2
FeH3,106.5
TbRh3C,73.9
HoNiC2,123.3
KTaO3,100.0
BaPdF4,14.5
NiHg,58.9
YSi,46.5
LiTlO2,51.9
Tl3SbS3,8.3
ZrB,59.1
BaCrSi2,25.9
GaIr,49.4
VSnPt,43.0
Ta2Co,70.0
Sc2AlCd,67.7
Ca3BiSb,6.4
InAgO2,10.7
Ag3O,43.2
HoTlS2,29.7
AcOF,44.0
KCdAs,12.2
TiZnF5,28.3
BeCo2Pt,56.8
Cr2CoS4,33.8
XeF4,10.7
Ho2CdOs,40.2
NaSm2IrO6,41.7
Sn2IF3,9.5
Al2SiO5,87.8
BePdRh2,101.4
ScGaRh2,80.1
Al2HgTe4,24.3
ScBeV2,46.3
ScTaO4,98.2
K3GeS3,17.5
LiBeFe,69.3
LiBH4,10.0
Rb2O2,11.3
Li(NiP)2,35.5
Mg3Nb6O,76.9
LiBC,52.5
RbErSe2,27.5
Sr2Fe2Se2OF2,17.8
HoClO,32.4
NdS2,43.7
PmMgRh2,38.2
Ce3In,39.0
Th2HN3,92.5
Pr2CrS4,50.3
AgAsO2,13.2
KZnAs,13.2
CoSnRh2,91.6
Sc2CoRu,51.8
UI3,6.4
PbCl2,5.4
LiTbO2,73.5
Tm2AgOs,50.6
KV(CuS2)2,8.6
Fe3SnC,113.6
Zr2Fe,22.3
AgN3,2.9
Li3BN2,44.4
BeAlH5,13.9
HoPaOs2,22.7
K2SiP2,11.4
SnF3,3.7
LuGeAu,53.5
Nb(SeBr)2,6.1
Ce(POs2)2,115.0
PrP,37.0
BeNbBi4,11.0
Tm2CuPd,37.7
ZrTiTe4,14.8
Ga2Pt,23.3
Na2Cd3(PO)4,45.1
YbPrZn2,33.2
VNCl4,4.9
TiCoSb,64.1
ZnCu2GeTe4,28.8
AgHgSI,6.1
TaRu3C,134.6
BaAl2,29.9
Mg2Co3O8,55.2
SmAsPd,41.2
Na2SnF6,13.8
UHg2,39.0
ZnSnF4,27.3
Ca(PPd)2,51.9
Rb2Te5,14.3
Ca(PrTe2)2,20.2
NpSi3,86.3
TiBeFe2,78.3
AgPS3,9.3
Hf2Ag3F4,39.5
Zn2CoN2,39.3
NdGeRu,26.5
NiS,7.2
HfGaNi2,22.5
CdCO3,35.0
Y2TeO2,22.6
ErNiC2,124.9
ScCo2,78.2
Y(CoSi)2,104.9
NaY2In,38.8
KNa2Sb,18.3
NaH2N,8.9
WO2,10.0
BaCdW2,5.8
Zr2SN2,95.6
Sb2Rh,46.2
HoFe5,37.5
LuAgSn,47.7
Al2ZnSe4,36.8
ErCo2,57.1
CrTe,35.1
SrCaO3,3.5
Be2TlTc,67.3
TaTc,101.1
Na5ReO6,44.7
SbOF,28.1
Li4CO4,40.2
SrLi2Nb2O7,63.5
Ca(VS2)2,3.7
Be2NiPt,106.6
HoCoC,39.3
OsSe2,86.6
TlSe,4.6
ScRu3C,116.1
Mg3Cr,26.2
BaCaO2,46.1
ScVRu2,66.7
HfGaIr2,50.0
Rb2NiO2,9.1
YAsRu,8.6
TiFeCoSi,105.8
NdH2,55.3
Zr2CoOs,57.2
BeCoBr,22.9
Rb4I2O,2.2
Cd3PCl3,12.1
TaGaRu2,116.5
TmPO4,84.3
FePSe3,6.4
Ba2CuF6,21.1
MgSnAu,29.5
RbAgO,7.0
YHg,35.0
GaCl3,5.1
LiMgP,46.2
ThP,30.2
CdIrO3,42.8
ScInCu2,66.3
V(CrS2)2,29.5
Ba2SmNbO6,55.2
Sr2BeCo,4.4
Al2Pt,44.4
LiSnRh2,77.8
BaRu2Pt,41.4
K4BeAs2,4.1
Ta2Si,120.8
HgTe,16.5
Ce2SeF4,35.1
InRh,72.3
Nb(SCl)2,6.9
Hg2Pt,22.9
K2Li4UO6,3.1
Li2AlPCO7,32.2
BeFeSb,81.7
NaMgBe,20.4
Ni2Ge,32.8
Cr2NiSe4,23.7
YSc4Be,4.7
ZnCoF6,48.7
BeZnCr2,46.9
BeCrPd,128.8
ZrNi2Sb,66.0
InNi3,85.2
NpO2,62.5
SrCuSb,30.9
Np(SiOs)2,78.1
TiBe2Ge,95.5
BaZrSe3,22.8
ZrH,67.6
Ba2Zn3(AsO)2,36.2
YNiP,25.8
BeAgW,96.8
SiSe2,28.7
LiBeNi2,86.0
KSmSe2,26.2
Mn3RhN,134.8
Nd2CdS4,26.8
RbCl,4.3
HoAl2,54.1
SrAlSiH,40.9
Dy2ZnOs,47.1
Mn2VSi,136.6
KAlF4,9.6
Mg2SiO4,138.5
TmTlS2,29.9
DyTe2,27.0
Cu2HgGeS4,34.2
Sm2PbSe4,25.7
TaAs,90.8
Sm3Tm,31.0
LiBeCo2,77.1
Ba2YBe,17.1
TiBe2Te,24.7
RbBeH3,4.9
PmInRh2,47.3
KTbGeS4,14.5
Cu2HgGeSe4,29.4
Mg2BeBr,3.3
Li4PbO4,39.3
CrP2S7,1.1
ZrSiPd,68.7
PI2,6.8
TbF3,60.7
SbTeI,8.1
LiMnAlO3,38.6
InPbCl3,2.0
K2SeBr6,11.5
Cu2S,24.1
HoInPd2,40.1
KYSn,8.4
BeGa2Co,54.5
Ca3(SiIr)4,47.0
VTe,57.4
UGa2,83.1
K2TiF6,15.5
CeCoGe,7.9
MgMoF6,44.1
NaTiO2,71.6
ScCu,48.1
SmBi2BrO4,23.9
Sc2BeBr,13.2
Be2MoP,68.5
BaAgSb,3.3
BeCu4Rh,44.7
Pm3Si,35.3
ErPd,35.4
UP,21.5
Tb2Cr2C3,81.7
Ti3InN,40.4
LiDy2Ru,28.6
AlSbI6,5.1
NaLi2B(PO4)2,42.2
TlSiPt5,44.9
Mn3GeC,52.0
KAs,6.2
TiFe2As,50.6
Y2Cl3,20.6
Li6TeO6,50.3
Cd(InSe2)2,21.2
U2SeN2,87.9
TiBeCo2,97.8
In2Au,17.5
SmTlS2,28.4
ZnCl2,10.5
Ba(PPd)2,27.0
SrSnO3,83.8
DyP5,43.0
MgCrF6,53.0
CeMg3,39.9
Al3Mo,77.0
LiBiF4,31.3
Ba2MgZr,21.4
Ga2TeSe2,18.5
P2W,116.0
BeTc2Ge,41.7
KNO3,4.8
Li2CrFeO4,97.5
NdSb2Pd,32.3
Ca2Cr2O5,41.1
KMgBi,9.7
YBeZn,44.2
CrN,27.2
MgAsOs2,58.2
KO2,5.1
Tm(NiGe)2,47.6
Ag2PdO2,21.7
MgAgF3,35.0
LiAl2Pd,89.2
K(CoS)2,25.8
ScCl3,5.7
Ca(As2Rh3)2,50.3
BaLiNi2,16.3
Eu2C(NCl)2,28.6
TiAlPd2,42.1
Ca3Sb2,8.3
Y2GeI2,9.7
Be2HgRu,32.2
InCuO2,17.7
NiI2,4.8
RhN,40.3
Na2TiSiO5,55.2
ErRh,41.4
Na3DyCl6,8.8
Sc2BC2,29.7
InNi2,13.7
MnBeRh2,76.9
HoIn5Co,27.0
KMgP,14.8
Ca(AsO3)2,53.9
Er2Au,15.1
RbNdTe2,20.9
HfCo,47.0
HgBr2,7.4
BaF2,25.0
ScAg,43.7
Li2CeP2,34.2
RbCeSe2,24.5
HgCl2,1.2
Mn2BeOs,87.9
Tm2In,34.3
RbGeI3,8.3
LiNi2Ge,94.8
Li3FeO4,91.4
UOs2,14.5
NbC,161.1
TmGe,26.0
LiTl2InCl6,15.7
Au2O3,61.7
ZrBeMo,44.2
Fe3Ge,50.9
TiAlRh2,87.8
KCBr(NO2)2,6.6
RbCuC2,2.9
Be2SiMo,102.0
TmH3(CO2)3,40.5
Pm3Pb,29.7
NbAlCo2,75.1
Be2TcSb,54.6
BaSr2Ca,11.8
HfBeZn2,71.4
Yb2Si2O7,57.8
Ca3Tl,23.2
SmAlGe,53.8
AlTlF4,16.0
Y2MgAl,57.2
ZrCl3,4.2
PH6(NO)2,7.5
K2TeO3,13.7
TbGa2,58.0
K2BaP,3.3
BeBiMo2,60.2
YAlAg2,21.0
BiAuO2,22.8
DyAl3,57.9
TbZn2,31.5
HoPd3,73.0
TcIrOs,42.2
Sr3P6(N4O3)2,48.3
Na2Nd2Ti3,49.1
K3Y,5.8
Ti3O2,89.6
Mg(SnN)2,34.7
YbO2,56.3
ZnWO4,60.1
YbMnSi,28.1
CoNiSn,36.1
Li5ReN4,49.7
TiZnO2,46.3
SmH3,90.2
Yb3U,21.3
AlFe2Mo,107.8
NaMnCl3,14.3
BeNi3,111.5
CdRhF6,28.9
Li4Ca2Mg(SiN3)2,107.1
Ca(ZnAs)2,26.7
Al2IrRu,120.6
TaTiBe2,74.6
DySi2,20.6
ScNbOs2,102.0
ErTaO4,76.5
KBePd2,6.9
SrCd,21.3
Ba4TaHg,6.0
K4P2PdS8,11.3
Sc2GaTc,64.3
Ba2LiOsO6,66.0
Li2ZrTeO6,111.5
K3Na(SO4)2,20.4
MoS2,5.7
VAu2,69.1
ThCoSn,59.3
CrB4,216.7
Li4Mn3,15.9
MnB2,104.4
Pr5CuSe8,26.3
TiBe2Sb,61.6
Li8PbO6,56.2
Na2PHO3,26.3
LiScS2,28.3
SrTaBe2,26.7
Ba(PIr)2,28.4
Bi2Se3,21.1
Yb3GaC,17.6
Ti6O,59.9
NaMnBe2,28.4
BaPbO3,56.5
Sr4TiBe,7.1
BaTbF6,16.2
ScCdRh2,68.4
Li2Te,22.1
K2Cd2O3,17.3
KCuO,8.7
BaNd2PdO5,51.4
NaLi2Sb,30.9
LiBH4,5.0
LiHfRh2,56.3
NaO3,13.9
BaC,14.0
Sc2BeOs,32.0
CaGe2,6.3
ScAlNi2,66.0
Nd4S3NCl3,17.3
Nb6C5,184.6
ZnSnO3,38.9
ZrSe2,10.9
CaBeCd,34.2
B6As,174.0
Sr2CeO4,50.5
Dy(FeSi)2,86.4
Tb(CoB)2,97.9
Ti2NiSe4,36.6
As2Pt,67.0
Al2Au,50.0
HoIO,12.0
ScSiAu,70.3
VTc,95.9
ErNi2B2C,60.4
Ba2SbBr,6.0
YGeAu,53.7
TeAsIr,22.1
Tb(FeSi)2,86.8
PbF2,21.5
K2SiF6,13.8
V2CrSe4,56.7
HfGa3,68.6
ZnCu,81.6
KNaNdNbO5,29.9
HfInRh2,88.7
Mn4ZnO8,20.2
CoTe2,54.5
HgSe,17.1
TbFeSi,39.4
Fe5Si3,79.3
InPS4,21.6
SnTe,6.5
ZrInRh2,80.6
Mn2BeGa,131.8
SmHoRh2,32.4
Mg(AlH4)2,10.1
Nb3Ga2,118.5
CePt,38.2
FeNiGe,15.6
BaAsPt,29.2
ZnCo2Ge,80.3
InHO2,99.6
MnAlFe2,100.6
Pu3Al,59.6
UIr2,108.2
BaAlGe,35.0
Dy2MgTl,45.9
