pretty_comp,et_c13
FeCu2GeS4,58.5
UAl3Ni2,82.2
Hf3Au,114.0
Sn2IF3,15.9
K3Na(SO4)2,15.3
KNa(BH4)2,11.8
ScBeTe2,21.8
Mg2Al2Se5,15.4
TiZn(BiO3)2,56.4
ScClO,50.5
ErPb3,51.0
TaSiAs,89.3
Ga2NiS4,16.7
TiNi2Sn,150.4
KPrGeSe4,10.9
CeSi2,74.0
Al2Ru,110.0
CeMgZn2,41.8
H7BrO3,10.8
CeNbO4,99.6
ZrH3,43.9
KNdO2,29.5
DyBiPt,66.2
Ba(BIr)2,37.6
Li3FeO4,53.4
Li3Pb,23.5
NdI2,8.2
Ba2ScBi,25.4
ZrBe2Os,146.9
Li3FeP2HO8,66.9
NaYS2,25.5
TaGaRu2,170.8
TiIr3,224.9
Sr(PRh)2,62.4
Sm(CrSi)2,93.1
Li4UO5,53.5
ZrNCl,3.7
Nd(SiOs)2,106.1
RbCa3,11.0
MgAl2O4,85.2
Zr2AlN,89.8
Li2FeF6,42.2
CaF2,48.5
RbHoS2,27.9
Ba2Sc2O5,65.7
Y3SnC,35.2
NbAlPt,131.4
BeCr2Se,100.2
Sr2PbO4,72.6
Tl(CuS)2,34.8
ZnMo3,205.6
NdTe,10.4
CaC2(SN)2,27.8
Ti2BeMo,98.1
GeC,101.8
Na2Ni2O3,42.3
UN,132.6
InFeAs,72.5
Lu2CuPt,84.9
K2Pt,11.2
Er(NiP)2,110.4
NaSc2Be,33.3
In2Ge2O7,108.5
InSe,13.0
LuAl,39.6
K2As2Pd,7.4
CaMoF6,17.1
NaYbO2,51.0
BaNaHg2,18.5
K3VO4,33.9
Li2CaSiO4,71.7
YZn,48.5
Ge2O3,124.2
MoPt3,216.2
Tb2Cu(Ge2O)2,76.2
Tl2Pt(CN)4,11.0
Ba3Sb2,1.2
K2BeW,10.6
FeB2,208.1
DyBO3,156.4
Ga2TeO6,134.6
RbSmO2,36.9
USnRu,119.8
NpIr2,197.5
BeInW,48.5
LiMgP,51.1
H3F2,5.6
Tl(Cu3S2)2,49.9
K2NaInP2,17.4
YHSe,35.9
Be2FeNi,129.2
U(FeSi)2,110.7
Ba2YbSbO6,57.0
HoPaOs2,170.6
TmAlO3,137.1
Dy3InC,35.4
CaTl2O4,74.8
CrFe2Sb,246.3
Zr2Fe3Ge,121.5
ZrInAu,85.1
BaTa2Bi2O9,82.0
BeO,213.9
Th(CuSi)2,95.0
CoNiSn,74.2
ZrBePd,121.5
TaW3,190.1
TlBSe3,11.8
Rb2ZnF4,31.5
Ba2AlCr3O7,76.5
Sc2ZnIr,101.7
MgFeRh2,127.5
K2BeGa,12.6
PrRh3C,147.5
Mn3GaN,115.5
ThSnI6,14.0
TaBeBr,2.7
Ba2ErNbO6,74.3
MnB4,98.3
Mg3Mn,45.7
ErAs,23.9
Ca2AgSbO6,69.4
MnSbAu,79.7
Th2HN3,89.2
Li2AcTl,19.2
MgAgAs,68.4
BeFeCu2,137.0
Na2BH4ClO4,25.9
Co3Bi,126.6
BaWN3,104.0
TiMo2As,191.1
Cr2S5,38.5
K2SiP2,6.1
Be2GePb,42.3
NaLuO2,64.5
KSrBe2,20.2
Zr2OsRu,124.3
DyPd3,111.2
U(CuGe)2,98.9
Dy(GeRh)2,102.5
ZrGePt,127.9
Be2InSb,38.8
Na2Zn2O3,67.5
SiBPb,51.3
BeCu2Os,146.3
CeSe,12.4
Sb2TeSe2,21.3
VBO3,130.9
MgBe2Ru,52.8
TmSeO3F,35.0
Ba2CrCd,16.4
Mg(BC)2,23.4
Ba4InCl,20.3
H6CNF,17.2
NpOsO3,95.1
AgBiTe2,41.2
NbNiB,192.2
ZrZnO3,82.2
Ni4N,33.1
UP3,12.4
K6HgS4,16.9
ScGa5Ni,59.2
VFeRu2,243.3
Lu2MgS4,58.1
Ca(ZnP)2,34.3
GaN,157.2
Mn2V2O7,27.0
MgCrF6,28.2
BeSeBr4,37.8
DyP,26.7
Rb2PdCl4,11.0
K2ZnF4,34.9
HfMnTl,92.2
Zr3Ag,87.2
YbSmHg2,46.0
BeGaW,69.6
KCaBe2,23.0
CeZrO4,97.5
DyAs,23.0
VPt3,199.3
BeCrGe,16.9
MgTiBe,48.2
ScCo3B2,170.0
Sm(ZnP)3,31.7
ZrBe2Cr,79.3
Fe(HO)2,34.4
KrF2,9.7
Cd2PdRh,116.4
Sr(NiAs)2,52.4
TlGaSe2,16.7
In5AgTe8,20.2
Tb(MnSi)2,99.2
Sr2TaGaO6,125.2
Ta2N,227.7
SmBr,30.0
Ba2HoNbO6,71.4
RbMgF3,45.5
Pr(GeRh)2,90.1
Mg(AlS2)2,16.1
LuNi2B2C,132.4
Mg2Rh,51.7
NdBi2BrO4,31.6
K3Y,6.3
ZrMoP,123.4
Rb2SeCl6,13.9
Si2Ni,120.8
Er2(NiB2)3,117.6
Yb(SiAg)2,63.9
Sc2CuRu,94.9
TiCuHg2,105.2
Ca2CrSbO6,108.2
AcH2,43.9
SrSO4,54.0
KAlF4,20.5
V2C,105.7
Na2BeNb,32.1
Ba2Ti2TlO7,5.9
HoTmCu2,55.6
BeVSb,41.9
BeCl2,9.8
K2P3,9.9
AlI3,7.5
NbV3,35.1
Ba2ErRuO6,76.3
NpSO,89.8
Sc3P,31.6
Fe2AsSe,128.7
TbNi2,101.5
FeCuS2,14.9
Sc(Al2Fe)4,78.3
Be2MoCl,8.5
BaZnF4,63.5
CaCrO4,47.2
KC4N3,7.4
BeNbFe,135.3
Ba2YSn,27.9
Be2CuRh,124.2
ZrMoAs,118.0
MnS2,17.4
DyNiSb,47.9
CaTiO3,119.7
MgTiF4,28.1
Lu3O2F5,71.9
BeFePt,107.9
TiSiRu2,142.0
GaB3N4,179.9
BaBe2Si2O7,35.3
U2Ti,32.5
VFe3,248.2
K2BeRh,22.1
BaPr2ZnS5,41.0
TaTeBr9,5.5
HgPb2(ClO)2,32.5
GaCuI4,13.5
NpH3,87.4
PrSi2,73.3
RuN2,74.9
DyH2,63.7
CaBeOs2,145.0
AsOsBr,106.6
SrLiAlF6,47.7
Ca(AsRu)2,59.5
Sr2BePd,20.8
DyCoSi,73.0
AlCrNi2,169.6
MnTe,38.1
USiAu,91.8
BaYPt2,24.4
BaZrF6,14.7
Cr(BH)6,0.2
Lu2IrRh,123.8
TmAg(PSe3)2,11.3
LiZn,36.7
NaTaN2,40.2
Zr(NiP)2,134.3
VGaCo2,220.7
DyAl3,34.4
Al3Mo,98.2
NdFeSi,50.2
LiCrP2O7,107.5
Ga3PO7,125.6
SrBeV,27.6
Cr2O5,92.7
BiF3,152.7
NdBiPd,51.5
Be2NiSe,69.6
Rb3NbO8,16.4
Na2ZnSiO4,80.4
MnCu2SnSe4,44.0
BaSnO3,79.5
Be2CoCl,37.8
V(CoSe2)2,76.1
Ag2HgSI2,18.6
Rh3Br,152.1
CaV2O5,88.7
Ce(SiIr)2,99.1
LiErO2,81.2
BePOs,199.5
Lu2ZnIr,87.0
NbGaCo2,208.2
SrBeF4,49.2
Sm2ZnIr,70.7
YbPb3,32.1
NdIO,15.5
Li2InAg,41.9
Zr(PS3)2,16.7
BeRh2Cl,87.5
As3H5,24.7
GaBiO3,121.1
PrSF,74.8
NaH2N,4.7
NaClO2,7.1
HgHOF,39.0
NdTeF,57.3
Dy3AlC,35.5
V2CrSe4,61.5
SeBr2,4.0
Sr2LiCoN2,41.0
ErCuSi,68.8
Rb2CrF6,17.7
KRbS,19.0
NbAlFe2,132.6
MgTaRh2,202.4
OF3,5.0
LiCa2Rh,29.8
P2Pd,80.3
Zn(SnO2)4,33.1
K3AlH6,13.9
Ba4CaPt,16.8
Hg(BiS2)2,16.1
MnPO4,79.9
LiCaAlF6,53.1
Si3NiP4,72.4
BiCl3,10.9
AlVF5,32.1
Be2TeRh2,57.8
BeCoPb2,41.6
LiMnSe2,12.0
LuCo2Sn,114.8
BaNiP2,50.0
BaCd2Sb,26.2
Rb4NO,9.0
CdSO4,56.9
Be2CoSi,124.8
MnCO3,20.4
Be2NbCo,113.8
SeS,62.9
K2PdBr4,7.9
NdGeRu,58.7
DyCrO4,89.3
ZnGeN2,85.3
Lu2ZnTc,78.7
PbC2(SN)2,24.2
KYbS2,31.8
YPO4,95.6
Ba3BiAs,0.2
Sr(GeRh)2,55.6
BaYPd2,21.2
Ti2NiIr,198.3
LuI3,4.1
K2Te2Pt,10.1
Hg2SeO4,31.0
Mg2SiO4,146.6
Yb3PbO,29.0
CdAs2,31.9
TiBe2Os,171.5
GeSe,6.9
CdAuO2,70.9
TiAlO3,117.3
Ca3AsBr3,11.6
LiLu2Ga,43.7
Sm(GePd)2,100.9
SrMgH4,40.1
NaFeO2,86.4
CaBO3,190.1
DyNi2,102.7
Ca(NO3)2,32.3
RbSmTe2,19.6
Pu(CrSi)2,143.0
Ti2CuTc,146.3
TbSe,20.9
MoAs,115.8
Ba2ScCr,15.8
TmNi,85.7
TaSbRu,133.2
Pm2CuRu,68.2
MgAg3,75.3
PrNi2,90.3
PuZn2,23.5
NdAl4,53.2
VSiPt,149.9
K2NaVOF5,25.4
MgBeNi,50.2
CeBiPt,64.8
CaNiTe,48.2
FeCoSn,82.9
CoO,138.8
BaCo2Br,2.4
NaAsRu2,134.5
TaAs2,81.6
Nb3Pb,109.3
BaSi2Br,12.3
MgBeNi2,83.7
BaCeO3,68.8
SrMgSi,36.4
NaAlF4,16.9
ThSb,18.0
MnTlCl3,26.2
RbCaSb,14.3
BaBr2,24.6
Co(NiSe2)2,79.7
Rb2NaSbCl6,9.6
Sm3Ho,31.6
ThSe,43.7
MgTaOs2,181.4
Rb2NaErF6,19.5
TaS,146.6
ScGaCu2,92.3
SnH8(NCl3)2,16.1
BeGeOs2,152.3
Ba2YSb,29.8
InAs,28.7
Sb2Te2Se,20.1
PrHo3,32.1
Sm3Np,31.5
BeCu2P,85.6
NbSeBr3,7.9
Ba(MgSb)2,22.3
YVO3,141.3
Ag2HgS2,56.6
NaBeAs,10.2
PdF3,44.8
Ca(ZnSb)2,26.5
YBe2Ru,83.9
Li4FeN2,42.7
YHo3,32.9
Be(BC)2,3.9
NbO,172.8
Ba(PRu)2,56.2
TaGaOs2,194.9
Ba(MnP)2,68.6
ZrSnPd2,146.0
Ca(MnSb)2,55.9
NiHg,123.8
Fe3NiN,99.6
LiHg,28.1
Be2WSe,47.9
TaMn2Be,117.0
SiNi3,156.5
SrF2,43.2
KCuO,17.4
Dy(MnSi)2,99.9
BaMoPt2,81.9
Be2ZnW,103.4
LiBe2Sb,9.6
V2InC,100.5
Y2BeGe,21.1
DyCo2,118.7
HoNi5,101.9
BaMgCl,17.6
Mo2C,221.0
TlAuCl4,15.9
Rb2PtF6,20.7
Sc3SnB,29.3
ZrBe2Ga,78.6
MoP,145.4
TmGe,81.2
Li2Se,18.3
Be2AsCl,88.6
BaLiMg,12.8
Na3Nd,7.4
Li2NiO2,85.0
MnCuSb,70.6
Ti2MoAs,170.5
UAs,74.2
Pr(ZnP)3,31.9
SrCrF4,52.6
TiPd2,135.9
Sm(SiPd)2,110.0
NaDyS2,26.1
KH,5.4
HoGe,78.9
ErNbO4,90.8
XeIF7,5.8
Br2O,10.2
BeAlB,27.0
BaSrY2,19.7
PrY3,31.5
BaTi4Br,32.8
HoIn5Co,45.8
CoSe,96.6
BaSm2PtO5,88.2
TiBe2Ru,139.2
Ag2SnHgSe4,33.9
Sr2SbAu,19.1
Zr2Cd,73.8
YbIn2Ni,62.3
CePPd,71.5
TbCd,54.1
SrClF,42.7
LuNi2,110.1
TmRh,102.2
AgH,62.0
DyHO2,82.8
Na3BS3,10.8
Li2NiSnO4,64.4
Ca3Hg2,30.4
BePd,167.0
CoCu2GeS4,65.4
Zn(InTe2)2,21.3
Zn2In2S5,33.8
Ca2B4Rh5,87.7
CrSnRh2,159.6
Sc2Sb,43.2
NdN,73.1
PuN,96.6
Na2BeF4,29.7
Mg2BeCl,18.3
BAsO4,49.9
Na2BeFe,25.8
Li3TaO4,50.3
CaCuF4,58.4
BH3,5.4
SnClF,3.1
ZrRh3,164.2
MnPt,173.3
BeGeS2,14.8
TlF,22.0
KCuSe,15.4
PdN,177.0
Li2AlRh,69.4
BaMn2Sn,16.9
Sb2Ru,33.9
BW2,237.1
BiTeCl,14.3
BeCuRh2,172.5
Sc3GaC,38.0
Ti2MnAl,133.5
KBaBe,12.0
Ba2BiCl,9.3
UMn2,240.5
BaSc2Be,20.4
BaNaCr,12.4
CS2,8.5
SrAlSi,21.9
Ga2TeSe2,11.7
NdPb4F,57.8
DyInCu2,68.4
Cu2Se,63.6
Ca2GeO4,98.1
ScIr3C,27.1
Be2TlFe,71.4
Ti3Nb,116.8
TlS,16.6
Be2HgRu,103.5
BaTi2Cu,26.8
BeNbIn,87.3
Mg(HO)2,6.4
Rb2Yb2O5,30.4
UFeC2,143.9
Ba2H3I,16.6
U3Se4,39.8
ScNi4Sn,121.7
K2SnCl6,15.2
BeCr4In,147.5
CdAsPd,91.4
Th(Al2Cr)4,69.4
Rb2Te,9.5
NaMnO2,50.4
Ba(HO2)2,25.7
Mn3Hg,66.5
KSmF4,38.9
Nb2Al,101.0
TiBeZn,80.1
Te2Br,10.5
USiSe,60.8
SmVO3,138.6
Ba2YNb,20.2
NdTmMg2,35.1
Er(PRu)2,99.1
Co2P2O7,95.9
CeMg3,28.4
GaCuS2,57.2
FeCo2Ge,173.0
BaBiCl,23.0
Ca4Sb2O,28.0
AlAgO2,85.9
MnBe2Zn,88.3
SrHBr,28.1
SrAlSiH,22.6
CoN,229.9
AsBr3,5.7
Li5Mn2Co3,65.8
Be2CuNi,128.4
AlOs,175.8
K2BeFe,29.2
KLiZnS2,16.2
Rb2SiF6,18.7
Ba2YMn,17.9
HoCl3,7.1
Pr(MnSi)2,87.0
TiMo,100.4
LiBi(PdO2)2,69.2
NaNd2RuO6,89.5
Sc2MnSi,102.8
Rb2LiAsO4,20.0
RbCeSe2,21.3
Rb2PdBr6,14.5
Rb2SnAs2,5.7
RbNaSi2O5,41.5
ErTl3,43.8
NaUBO5,37.6
ScInPt2,140.3
BeCoRh2,178.2
YbBiAu,30.6
HfCo2,156.0
BaNa2P,13.3
Li7Mn(OF)3,38.3
BaNaCl,11.3
Tb2Cr2C3,118.7
OsO4,5.5
Ho2CdSe4,49.1
BaSr2Sc,12.2
DyAg2,63.9
