pretty_comp,et_c44
AgBr,7.0
Hg3(SeCl)2,9.1
HfZn,76.2
CrCo2Sb,50.4
Ti2Ge,34.1
NiSb2,48.3
KNaO,22.9
BeCoRh2,122.3
HfCo3B2,167.8
BeCrGe,20.6
Rb2HfF6,16.2
TeWSe,36.8
AgAsF6,0.5
SrMgGe,39.1
Na4CO4,19.5
TbTlS2,33.0
LuIr2,110.2
NbAlRu2,108.2
Li2PrAs2,22.0
BeSiNi,10.9
BaVTe2,28.8
BeTl2V,30.9
BiI3,8.0
RuAu3,33.2
CaC2,4.7
Na2CrO4,10.5
Th3Bi4,34.3
HoN,127.0
ZrTe,39.0
ClF,17.5
BeCu,110.7
YBeFe,31.2
Se2NCl3,8.6
PbF2,26.7
CdAuO2,19.6
V2CrTe4,35.9
ErSi,56.5
BaSrHf2,8.5
LiFe2F7,7.8
KCoF3,31.2
LiFeS2,37.8
LiMnPd2,62.4
Al3Fe,56.8
KSc2Be,36.1
Tl3PO4,8.9
NiTe,33.3
LiMgN,67.1
Sr3UO6,42.2
CrNiAs,39.4
Mg2BePt,6.7
Te2MoWSe2,43.3
Sc3InN,82.2
TiPt,44.3
BaGaFe2,25.7
FeAu3,54.2
CaPAu,37.9
NpGa5Co,65.9
TbBi,21.8
HoGa,39.2
Ba4ScBe,0.2
BaV4O8,20.3
Li8NbO6,47.5
ZrB,59.1
Ca2ZrBe,6.9
Ba2SiTe4,6.6
Li3Nb,36.0
TlZnF3,34.4
Nd3Sm,25.3
LiBeOs2,24.8
NaErS2,43.7
Sc2BeCl,62.5
Ca2IN,39.7
Rb2NaYF6,18.4
CdSiAs2,38.3
CuF2,16.0
Tl3AsSe3,7.0
CeCr2Si2C,103.4
Sr2BeRu,27.0
MgSeO4,37.6
YP5,42.3
TbSnRh2,48.5
YbMgTl2,18.5
Dy(MnSi)2,41.0
KNO2,6.1
Xe(OF)2,19.7
NaTbS2,41.7
ScBe2Te,83.0
Ta3SBr7,38.1
Mg(BeN)2,189.5
SmP,41.3
Al(CoO2)2,94.3
CuO,16.2
YRh,36.7
Tl2SiSe3,3.0
V3Pd,58.9
OsO2,247.0
MnBe2Ge,92.2
CaTl3,17.5
TmFe2,49.5
ZrSeO,101.5
Mn3Al,88.4
Rb2NaCoF6,30.0
NiS2,29.0
ErMgZn2,50.1
TmBRh3,71.6
Sr(AsRu)2,82.6
Rb2As3,12.2
SmErRu2,37.5
NaBeCr2,70.5
Tm2HgOs,42.4
Na2O,27.5
HfBe2Co,96.9
ZrSiSe,107.7
ZrBeHg,41.6
SiGeN2O,63.7
TiBeBi2,16.2
ScInAu2,48.0
CrH,53.9
HfGeTe,81.4
MnV,81.2
ScBe2Br,34.7
InGaTe2,14.2
Mg2Ti3O8,13.9
HCl,5.2
Tb2IrRh,42.8
CaZnSi,19.7
HfMnBe,78.3
CaZrGeO5,60.0
ErAlO3,75.0
Fe3Pd,127.1
MoW2(Se2S)2,72.7
Mn2VGa,114.2
Si2TcOs,69.2
Sr4ZrBe,7.5
Rb2TeBr6,10.2
K4CO4,14.4
TiN,14.8
Ca2BrN,44.8
LiBe2Ni,88.2
YTlO2,65.1
BeSe,93.0
PrOF,55.5
NdH2,55.3
HgRhF6,14.4
RbCu3S2,12.4
Sr2BBrN2,22.4
Ba2NaGa,13.4
TiCoSi,94.2
BeCr2P,139.7
Cr3Ni,143.0
BaBeF4,2.6
U(CrC)4,99.9
KHS,7.3
Li2VFeO4,120.7
CrCl2,29.4
Y2Cr2C3,91.3
ScTe,26.1
BeGaOs2,41.7
Au2O3,34.5
LiSbTe2WO2,175.4
CaTl,29.9
TlCl2,6.6
Mn3IrN,154.0
LiSmS2,29.2
MnSn(BO3)2,96.5
NdB6,70.8
HoTlSe2,29.0
MnSbRh,21.2
Ca(BC)2,209.9
HoPt3,92.4
TmTiGe,73.1
BeZn2W,134.5
Ag3SI,12.4
NdFeSi,90.7
HfRh,51.9
Li4Mn2O9,41.1
Li2GaRh,60.3
Nb2Bi2PbO9,66.0
MgBe2Co,132.2
Sr4Li(BN2)3,41.7
ThNiSn,32.6
Ge2W,162.7
Na2PdC2,13.3
CoAs2,116.6
K2PdF6,21.7
Zr2BeCl,59.2
SrTa2Be,23.5
ScBeRh,32.1
PrOs2,34.7
SnTe,6.5
HfVGe,150.5
KF,12.7
Sm3Th,31.2
BePdRh2,100.9
Cu3PSe4,22.6
Si2SnO6,78.9
SnBO3,195.9
AgAuF4,20.0
YAgSn,34.1
BeTc2Ni,133.1
Nd2SO2,49.9
HfZnN2,115.4
DyAgGe,25.6
SmLuRu2,39.2
