pretty_comp,et_c33
NdCoP,81.1
BeCdSe2,105.9
Ba4TcTe,24.8
RbI3,19.8
ZnSiO3,331.9
LuScZn2,104.1
Li2PrTl,83.0
NbAlNi2,215.3
Mg2H6Os,155.5
NbH2,267.6
Nb3B4,520.7
SbPd,153.5
B6As,366.7
CrPO5,35.3
Li7SbO6,171.4
LiCo2Ge,244.5
RbLuSe2,75.9
Na3BP2,45.3
Yb2SO2,69.7
Zr2BeCr,146.1
NiCO3,161.4
NdTlS2,71.4
NiAsSe,189.0
NaCN,37.6
YMgBe2,128.2
SrGe2,68.0
Yb(ZnAs)2,106.6
UPb3,75.2
InCuO2,319.0
AgBiSe2,101.9
SmCuSe2,108.7
BaCO3,32.7
ZnCu2SnSe4,77.4
NaH,102.8
Be2NbRh,200.1
K2Be2Co,96.1
Li3FeP2HO8,136.2
Ca3P2,116.2
V2ZnO6,99.5
VZnF6,98.3
Dy2SO2,224.3
CaCdO2,222.6
KPH2SO3,47.4
Li2MnBe,146.8
Ni3B,314.3
SrMnGe,50.9
Rb3In,6.3
BeO,328.6
Tm(MnGe)2,193.7
FeClO,15.6
LiCrP2O7,227.6
OsCl2O,30.4
TcB,385.4
Sr2HfBe,39.2
LiHF2,220.9
Tb2CoGe2,110.8
SmBi2ClO4,87.7
Na4PbO4,79.0
Be2InIr,296.7
Ti2BeMo,205.9
Co2NiSe4,156.1
LiMgN,195.6
Rh3Br,180.2
Nb3Ga2,259.3
Th(PS3)2,75.7
Na2PtC2,449.8
YNbRu2,297.0
Ti2ZnO5,153.2
LuAlGe,196.4
RbNa2Sb,36.7
YbAgSb,99.5
Yb2PrDyS6,91.2
Rb2ThF6,128.1
Ca(DyS2)2,147.8
Sr3P6(N4O3)2,146.0
Nd(SiAu)2,181.1
Mn2SnRu,217.3
WN2,647.0
CrAg(PS3)2,29.7
BeFeRh2,253.6
HF,24.8
Cr3Ni,285.3
BaBiBO4,83.0
Ca2BeMo,54.0
Be2MoP,561.7
LiAlSe2,58.4
Sb2O3,91.7
SrS2,94.4
TiBeHg,75.6
Yb(MnSi)2,174.0
Rb2NaMnF6,76.6
B2Ru,516.9
NiMoO4,279.7
K4BeP2,49.3
VSe,148.9
MgTiPO5,191.5
Cu2HgI4,28.1
Na3SbS4,46.2
BaCo2Cl,81.9
ErInCu2,126.3
Ba2Cd,22.4
Ho(SiRh)2,264.3
BaPd2,106.2
Er2TeO6,347.4
NbGaRu2,365.5
MgSiP2,82.6
BeTl2Cr,74.8
Dy2PbS4,137.2
Na4BePd,29.7
BeVP4,37.0
Li8PtO6,164.1
TcF6,30.7
YbAg,67.5
CdPd(CN)6,87.8
Sc3SnC,227.7
PrSm3,53.8
CuMoF6,387.1
TiZn(BiO3)2,83.5
Ba4CaPt,5.5
RbAuO,60.4
USb2Ru,166.6
HoErZn2,91.9
YBrO,42.8
Cd(CO2)2,164.2
KTeOF3,56.4
Ba(BiO2)4,61.7
Be2BO3F,150.1
BeCo2Te,210.6
BeNbCd,162.6
KCrS2,100.6
MnBe2,388.0
BeAgW,195.9
Mg2SiO4,334.6
GaGeRu2,346.0
NpSe,198.5
TiMo2As,157.1
YAgSe2,64.0
NaBeO3,157.9
KY3,26.6
CeAl3Ni2,212.2
Tb2Tl,97.0
K2Pb2O3,43.9
K5CuAs2,48.6
CoGe,203.1
InAgSe2,56.9
K2PtCl4,27.4
CaCd,50.4
Dy(GeRu)2,207.9
RbMnTe2,30.1
UC2,630.5
ZnPdF6,98.0
EuS,181.1
UCr2O6,255.5
AgBiTe2,67.1
TaAl3,265.4
Ba(CuO)2,155.5
RuRh3,439.6
Ag3AuS2,44.7
TbH3,98.9
UGa5Ni,177.0
P4S3,20.5
UCoAs2,169.3
KCl,51.0
TmBrO,28.9
ScGe2,166.8
Ho2In,106.3
Sr(MnGe)2,74.9
VFeRu2,217.7
KBe2BO3F2,26.2
GaNiRh2,225.2
Be2FeSi,436.3
CrPS4,27.8
Zn3N,92.6
Mg2V2O5,211.1
RbSbBrF3,38.3
BeMo4Os,297.2
TlCl2,22.4
CaBeZn2,85.1
BaThO3,224.3
KC,37.8
LiAuO2,216.4
Tb(SiRu)2,224.6
Tm2CdHg,90.7
LiYb2Tl,42.3
SmIn2Rh,98.7
TmH3(CO2)3,150.3
Ba2YGa,16.4
ZrSiS,213.2
PbSO3,98.9
BaTi4Br,8.0
MgMoH2O5,100.0
TbFe2,141.0
TaBeCr,250.9
CaMn2(Si2O)2,194.5
Ba2Zn3(AsO)2,79.7
HoSi2,131.3
Al2Pd,151.1
RbYO2,152.8
BiSI,26.0
TiInAu2,129.8
Rb3Al,6.8
Ba2HoNbO6,294.4
NaMgAs,69.0
Te(HO)6,18.5
Pm2AgSn,81.1
Na3ClO,79.0
Ga3PO7,276.2
HoTe,177.0
FeCu2SnS4,80.8
K2SiAs2,47.5
Li(CuP)2,188.7
PrClO,111.2
MnBe2Cl,37.8
YbCrO4,227.1
BaMg2Fe,53.9
Li8HfO6,200.3
DyFeSi,136.3
Sr2CaIrO6,216.3
HoTaO4,292.5
ZrP2,263.9
TbH3(CO2)3,142.5
Rb3MgH5,29.8
TaGaNi2,208.4
K3Zn2F7,103.8
SmCuO2,245.8
Sr(CoP)2,109.5
YbCd3,51.5
NaPmTe2,114.0
MnSnRh2,72.8
CaPd3O4,271.0
Ca5B3O9F,143.1
ErSnAu,111.4
Na2LiBe2F7,70.3
NpGa5Co,191.5
Li2InSb,4.2
Pr(FeGe)2,155.6
Dy(CuO2)2,376.9
MgVSF5,41.2
KCrCl3,53.3
Sc2TcAu,179.1
Ni2Mo,406.9
Na2BeCl,13.2
KEuS2,72.5
Er2AgRu,144.0
CaClF,71.6
NaBi2AuO5,134.0
Li5Mn2Co3,208.1
CoSbS,253.5
KB6,355.2
WSeS,0.5
BeSbBr2,53.9
KBe2Tc,108.2
U2Ti,318.2
UOs2,243.8
ThNi5,268.4
Ca3PbN,64.3
KNa2Bi,29.3
RbGeCl3,19.1
CaTlF3,102.9
Tm3AlN,211.4
NaHg2IO2,49.0
ZrFeP,304.6
TbBr,40.4
Be2RuPb,236.4
BaAgAs,66.5
NaTbS2,69.1
YGa2,112.9
Tm2AgHg,104.1
RbHoO2,158.1
Sc3AlC,221.1
UBC,321.7
Cu2SnSe4,44.6
PtSe2,29.8
Er2Si2O7,208.1
Cr(BH)6,26.3
HfGaCo2,191.9
RbBS3,29.9
YbF3,158.8
Na2PtS2,54.0
PrCd,63.5
TaTiMn2,397.0
HfC,527.2
NaCdAs,78.4
LiDyS2,73.0
CaGaSiH,71.2
YBi2IO4,82.7
ThTe,166.2
PdCl2,20.2
CrBr3,24.1
UB2Rh2C,342.2
NbSiAs,287.5
BaTePb,6.5
FeCuO2,487.7
MnI2,12.9
SiC3,43.6
SrBiClO2,132.8
U(SiPt)2,248.9
MnAsPd2,97.7
BeGa2Fe,243.7
RbZnF3,114.1
RbNO2,42.6
Mg(CuN)2,70.3
Ba2CrBi,39.1
BaTlBi,23.6
KHgAs,27.2
CaBeCd2,65.4
K2NaInP2,45.9
CaTaBe,133.8
SmP5,133.5
Yb(SiAg)2,143.7
BaH4O3,36.2
EuMgH4,109.2
CeCo2,176.6
TlBiTe2,40.8
SmPPt,150.9
YSnPd2,132.3
ZrNCl,34.9
Dy(MnSi)2,218.2
BaAg2,42.0
Ho(MnGe)2,188.0
K3BAs2,32.5
Ga2HgSe4,53.7
TmB2,357.7
Mn2P2O7,158.9
HfBeBi,69.5
MoCl3O,42.2
CaB2Rh3,390.9
As2Pt,289.1
TbTiGe,147.8
BeCo2P,307.9
Zr2Be2Ga,212.7
Tl2O,28.7
BaHf2Ru,78.8
LuNiBi,166.1
Hg(BiS2)2,73.8
Be2SnBr,31.9
UTeP,109.1
ScCu,133.2
Hg2SeO4,44.7
Sc2GaIr,166.4
