pretty_comp,shear_modulus_gv
USiAu,49.306999999999995
DyCuSn,52.953
HfC,62.113
NaGe2N3,78.0
BeAl2O4,154.767
ScBeHg2,14.732999999999999
SnH8(CI)4,3.22
BaSnO3,94.86
Dy(CoSi)2,90.633
Sr2PdO3,65.84
VFeSe,43.12
Tl(CuS)2,17.7
ZnRhF6,32.42
ThSiAu,65.447
GaAsPd5,59.3
RbMnTe2,14.467
LiPN2,115.78
Ti3O2,91.46
HoHg,27.8
LiBe2Br,12.547
Ca(CdAs)2,29.506999999999998
Mn2ZnO4,36.96
PrGe,47.047
Mn2As,33.687
HfBeSe2,17.14
TiAsPd2,8.9
BaB6,135.66
ErAu2,45.187
Na2NiO2,39.87300000000001
TaAs2,97.56
LiZn2Rh,47.42
Sc2MnSn,19.14
K8N3O,12.66
ScBeIn,41.4
Ca3SbN,52.22
Zn2(PS3)3,11.972999999999999
ScPdO3,30.3
SmAsPd,40.76
Nd(SiPt)2,50.38
Pm2S3,21.193
SrAgBi,23.706999999999997
Li2CrCl4,16.247
CeGeAu,17.82
Hg3(TeBr)2,5.58
SnP,45.3
Na2P2PbO7,25.413
Al2HgSe4,21.647
Rb3Pb,4.08
LiBi,12.007
YbBr2,14.54
FeSb,63.46
Na2Te,11.74
Mn3(OF)2,24.807
BeCo2Rh,98.75299999999999
PH4I,10.327
HfAu,66.92
LiAuI4,8.567
LuPb3,10.54
Er(PRu)2,97.44
BaCu2Cl,15.4
NpGa3,57.72
K2YBe,8.687000000000001
Pm2AgGe,23.98
TeAsIr,30.78
ThCl4,21.98
Rb2TeCl6,9.18
U(CoSi)2,87.96700000000001
KHSeO3,16.993
MgAg3,31.34
FeSi5,111.38
Sc2MnS4,30.9
ScBeCd2,23.96
SiGe,56.02
Ca2Sn,21.62
YbNdCd2,24.8
RbF,22.46
LiCaAlF6,41.927
YBiPd2,21.3
Sc2GaAu,34.64
YbAu2,28.62
NbPO5,65.487
Sb2Te4Pb,24.72
Ca(VN)2,23.32
IClO3,14.4
Nd(FeSi)2,79.367
Np(MnGe)2,4.12
Tl4Te3Pb,15.787
Na3ClO,25.2
Be2HgRu,51.02
Yb3V,12.853
K3BrO,15.78
Tm2MgTc,28.02
Y(SnO2)2,28.56
AlHO2,141.253
TbB2,139.47299999999998
BeBr2,8.88
HfVGe,89.10700000000001
BaCeO3,55.82
Na4BeTc,8.64
AlClO,49.273
Y(HO)3,30.147
BeBiIr2,8.947000000000003
TiSbRu,29.86
CaBO3,85.68
KSnOs,20.9
Ba2NbFeO6,101.42
ZrGeRu2,88.04
Cr(FeSe2)2,40.367
AlCuF5,34.173
Rb2PbO3,19.133
Ba3SiO,27.84
Pr3SiAgS7,35.687
Tb2O3,70.26
MnH4(ClO)2,12.387
TmBi2BrO4,46.427
TbNi5,68.46
V3Sb,71.2
Be2VTe,56.08
LiBeCd,45.126999999999995
NaErS2,35.653
Te2I,11.073
BSb,85.06
TiPtPb,0.32
HoSi,67.85300000000001
Ca6Ge2O,39.62
SnO2,94.38
HfInCo2,74.3
AgPF6,8.18
SmRe3,81.82
NiTe,32.133
Sm2O3,62.287
AgBr,10.84
InGaTe2,15.253
SiTc2W,98.14
VSbRu,44.26
RbAuF4,8.173
KO3,6.3870000000000005
ErNbO4,69.14
Dy3TlC,22.36
BeCuBr,17.647000000000006
Mg2Ni3O8,65.153
V2InC,98.787
Al2CoIr,92.58
LiCu2Pd,1.6130000000000002
TbCl3,20.327
Tb3(CoGe2)2,57.626999999999995
HoFe2,25.16
RhPb2,30.2
KBaSiHO4,29.46
Ba2NbTe,10.12
BaZn(FeO2)4,36.227
UBrO2,43.227
U2InPd2,31.34
ScF3,41.367
SmCdAu2,14.32
SrMgGe,33.933
UGeSe,59.433
BaBeF4,23.02
LiHS,5.492999999999999
K3Zr,4.14
AcH2,34.52
BiAuO2,25.213
BeZnCl,11.32
AlH3,48.586999999999996
Er2AlSi2,60.44
Ca2B4Rh5,84.60700000000001
SrLi2Pb,19.86
MgCuPd2,1.72
DyCoSi,65.16
TiMnO3,48.04
UCO5,47.107
Na3DyCl6,11.6
CuAu,34.207
Na2CdHg,9.02
KHgF3,16.24
ZnSiP2,55.96
Zr2NiP,81.667
BeTc2Pd,2.9530000000000003
KHgSb,15.227
TmB2,165.613
IF3,13.633
ScBeRu2,40.187
Ce(MgSi)2,52.7
NdMg3,29.06
TiInCo2,61.1
Cr2NiSe4,30.647
RbSnS2,16.833
Tm(CoSi)2,90.92
CaTa4O,66.733
BaCdGe,25.353
MnSnPt,8.98
As2Pt,86.2
V2P,99.02
Pm2CdSi,21.72
VAu4,37.953
YbAgS2,27.767
CaBeFe2,41.853
Ba2InClO3,35.946999999999996
TiBeIr2,115.4
NdBiPd,35.68
HoBRh3,90.66
K3Nb3(BO)2,66.3
Na2NiO2,36.667
Au2O3,46.507
PI2,6.82
MnBeCr2,56.287
Mo(WSe3)2,24.573
DyB2,148.28
PbCl2,10.152999999999999
CrCuSe2,18.92
DyBRh3,89.1
NiBr2,9.28
HoCo5,68.12
YI3,7.687
LiAlVO4,23.08
NaVAs,24.36
Zr2Zn,39.547
LiAgF2,13.98
BeV2Ge,58.747
CaF2,44.06
V4GaS8,47.74
Th2In,28.29300000000001
H4N2O3,0.027000000000000003
CrSb2,39.12
Sr2Mn3(SbO)2,33.507
NaMnBe2,39.12
BaSrO2,47.88
TiZnN2,55.84
MoIr3,186.033
Ho2CuRu,40.08
Ho(CuO2)2,68.14699999999999
PmAgHg2,20.32
RbMnSe2,19.36
ZnCoPHO5,30.587
KNaSe,14.913
ZnBi2O5,22.666999999999998
TaGa3,74.933
Be2CdFe,55.853
ZrNiSb,53.76
BeV2Cr,74.06
Li5CrCl8,17.08
NdC2,57.813
Ti2NiIr,40.66
AgN3,18.313
Na2Mg(CO3)2,46.74
Zr(TiGa2)2,68.967
HoCuP2,68.033
SrAlGeH,43.347
Rb4Br2O,8.587
TlP,24.2
BeTe,42.22
Li(CO)2,23.88
Tb(FeB)2,76.84
Be2TlFe,52.773
Er(NiP)2,81.68
Th3Bi4,38.46
In2HgSe4,16.153
Pd(PbBr3)2,10.913
BaSi2Mo,15.2
TlAuCl4,6.2
Li3VS4,8.08
BeV2Hg,45.147
BeVRu4,43.36
TaBe2Ni,13.48
BaSrPb2,6.86
TlBiTe2,22.647
Ca2As2O7,40.687
NiAuO2,47.7
LiLu2Ga,40.0
Li2InSb,0.613
LuRh2,71.3
ZrCuF6,20.533
Tm2BeOs,54.28
YAl2Co,48.607
Ca(PPd)2,45.567
NbRu3,134.16
TbRh5,78.227
CaCrO4,38.87300000000001
PH2F3,8.513
B2O3,164.76
DyTlPd,31.713
Ca3N2,55.46
Tl3F,7.0329999999999995
BeCoBr2,12.833
RbCeSe2,22.92
HoLuAg2,31.96
SbCl3,8.033
PrTe,35.96
Sm2Ti2S2O5,65.507
Cr2CoTe4,30.753
Pr2SiTeO4,54.027
KRb2FeF6,24.2
RhF3,47.507
Lu3Ga,27.313000000000002
LuNi2B2C,81.913
RbBeH3,5.347
PrNbO4,54.18
Yb3Mn,4.36
BeCo4Hg,21.54
Be2CrCd,50.247
CaSc2Be,24.96
SmH3,53.94
DyTl,21.3
GaIr,39.56
Li3Nb,2.34
GaPO4,20.16
VP,43.967
Mn(GaS2)2,22.607
Nb3Cr,35.94
Ga3PO7,62.02
BeSiN2,189.267
U(GePd)2,31.927
Ti2B,88.18700000000004
TaRu,13.14
ZrBe2Te,41.306999999999995
WCl4O,13.933
Li2PdO2,52.907
Be2ZnRu,88.647
NpOsO3,66.04
Ba2Bi2O5,28.02
SrCeN2,69.12
BaCd,15.1
SmFeAsO,55.167
Yb(CuSi)2,52.48
BaSeO3,27.893
SmS,24.893
Li2BeW,39.473
Na2SnF6,19.333
CoO2,44.14
Be2NiCl,7.787000000000001
TiBe2Sb,20.08
USe,37.2
Be2RuPb,32.053000000000004
NdCoC2,83.713
NaClO2,16.413
Li7SbO6,60.14
Mg(NiN)2,50.92
LiYMo3O8,83.367
PrPO4,62.173
VRu3C,162.0
MgPdF6,38.287
Ti(MoS2)2,71.047
BaCeO3,57.68
KTbGeS4,17.993
NaTeAu,11.673
Cu2SnHgSe4,19.68
Tl3BSe3,6.8329999999999975
DySi2,23.087
BaCrBr2,13.552999999999999
Th3Sb4,44.28
Sm3InN,57.76
TlAsS2,10.34
UTe2,21.893
PrFe2,7.68
Dy2C,32.733000000000004
SrSiN2,41.46
Li7Br3O2,28.833000000000002
SmTmMg2,28.54
CaTl,22.6
PCl2OF,6.56
Co2B2O5,37.306999999999995
RbAuBr4,6.5470000000000015
ErCu,38.5
MnSbO4,69.74
Ba4HfSb,1.06
Sr2ZnCu2(SO)2,44.853
TlSe,13.127
CeFeGe3,50.313
CuO,35.167
ScZn,47.68
TmMg2Sc,30.9
MgNiSb,44.66
Yb3InC,14.9
MnCdO3,32.38
Er(FeGe)2,58.69300000000001
HfCoAs,87.75299999999999
Y3Al,32.64
Sm3Ti,22.826999999999998
CeGa2,62.5
BaGaBi2,16.307000000000002
LiScAs2O7,49.2
SmMgZn2,35.02
HfCuSi2,86.0
MnAlCu2,49.42
Al(CrB)2,168.2
PrCuSe2,32.173
NiMoO4,49.007
Sc3P,23.64
XeF4,9.213
BeMo2W,58.607
LiMnPH2O5,8.74
CaCuF4,33.26
BaP2Pb,5.827000000000001
CaNiN,61.36
KLiBeF4,18.04
ThP,66.28
Sr2AuN,25.526999999999997
HAuO2,33.907
HfMg,32.086999999999996
Y(CuO2)2,66.667
WN,42.56
HfBeNi,40.567
LiMnIr2,55.96
RbHF2,12.547
SmC2,61.327
NdBPt3,64.953
SiRh,11.76
PrIn,25.24
Ti4As3,74.82
Hf2Ni,21.66
BeCoBi2,4.207
Al2Se3,22.68
SmCoC2,93.193
NdAl4,18.44
LiBe2Au,64.587
HoAg,31.62
CdSnP2,29.467
KAgO2,17.327
Ca2ScBe,11.607000000000001
Ca(GePd)2,26.1
LiGaRh2,66.56
Sr(AsRu)2,44.153
LiCrP2O7,71.66
ZrSbRu,44.84
Lu2HgAu,37.4
HfZnNi2,45.64
MnAlNi2,52.16
ZrNi2Sn,50.3
KTmO2,62.946999999999996
TiTl2F6,13.767000000000001
Nb3Os,91.48
Pu2W2C3,71.013
BaWN3,41.353
Rb2Zr2O5,45.36
Li2MnBe,40.467
BaClF,21.406999999999996
ScGe2,56.173
Ta2Si,103.18700000000001
BaC,3.56
DyTlTe2,23.373
KRuO4,13.073
NbInNi,64.96
Li4BeW,0.76
Pd2Cl2O,14.993
SmPd,28.566999999999997
BeI2,7.407
CeB6,135.18
Ca2BeFe,23.166999999999998
BeCoNi2,78.52
GaCuSe2,29.733
SmFeC2,79.013
HfZn,53.72
Mg2FeH6,61.12
Be2FePb,30.666999999999998
