pretty_comp,et_c12
SmIO,37.0
TiBe2Cd,72.2
NdIr2,149.6
Nb2CrAs,174.7
NaVO2,110.8
TbAl2Ni,67.1
CdCu2SiS4,45.8
TbAgSe2,48.2
K4BeP2,12.3
ErIn,58.7
PuCdRh2,135.9
CeN,97.7
CrCo2Sb,221.0
MgAu,76.0
YScBe,38.8
PbS,16.0
NaAlSe2,33.1
YbF2,85.0
YCl,23.1
Li8PO3,41.5
KPrS2,24.9
Sr(SiAg)2,30.1
NbN,130.7
LiPaRu2,142.5
TiSiPt,135.2
Sc2MnSn,84.8
Pr(MnSi)2,93.5
Mn2CrCo,223.2
TiBeCd2,74.7
RuCl2O,23.9
NaB(H4N)2,9.2
KRbS,14.4
Be2RuPb,138.3
MgBeBr2,47.0
NiF3,10.4
Sr2IrO4,128.3
LaBO3,99.3
BeCu2Br,41.5
NaH,12.3
BeSiPt2,238.4
Na4GeO4,33.9
K2MnH2OF5,20.0
BeSbBr2,59.0
ScBIr3,126.8
RbBeH3,12.9
Ta2MnAs,173.5
RbSO2F,22.3
BaErCuS3,41.5
U2InPd2,74.4
ScC,79.2
SrCd,20.0
TePb2O5,55.6
KNa2Be,10.0
NbBiO4,38.7
Rb2PdCl4,6.1
NaErO2,63.9
Tm2OsRu,95.4
TaSiAs,98.2
ZrTaBe2,123.7
PrFeSi,58.0
FePb2(CN)6,25.9
NaAsRh2,120.5
BeCrSn2,37.6
BeBiMo2,78.0
NbAsIr2,226.9
BaTlIn,23.7
LiCaCoF6,47.7
RbDyO2,53.8
ZnCdS2,34.3
NaYb(PS3)2,12.3
RbSmO2,52.5
AgAsF6,15.1
Al3Fe,95.5
Ti2Sn,106.9
Ni3Pb,113.2
MnNbGe,126.5
BiSBr,14.1
Tm2Cr2C3,126.4
SF6,2.3
AlMo3,122.9
MgCrO3,151.5
K3MnH5,8.1
BaPt,40.3
Rb3ClO,6.5
Th(CrSi)2,136.6
BeVSi2,154.7
V2GeC,119.2
SrBeRh,67.6
Te2Mo,13.1
Sr2N,23.2
TaBe2V,162.4
CrNiSb,101.4
BeCuBr,37.1
Sr2ScBe,9.6
LiHoO2,80.9
HfBeRu2,151.4
Ta2Si,167.8
BeCoNi2,176.5
DyTlTe2,16.8
Sr2SnO4,91.6
YAsRu,81.6
LiHfRh2,115.7
Al2ZnS4,70.4
ErI3,10.6
DyTl,56.2
Lu(SiOs)2,119.7
TaGeAs,124.4
BeCu2Mo,167.7
Rh3Pb,149.5
Hf2SN2,152.4
PrBPd3,107.7
MgBeW2,133.6
Sc2ZnGa,64.9
TaSe2,50.7
YScBe,36.4
ErBi2BrO4,92.5
MgBeNi2,113.3
Ca(CdP)2,40.9
BaPd2,65.8
CaPAu,84.8
SrBe2Ni,59.9
SmVO3,138.6
MnCu2SiS4,47.0
BaNaZn,14.0
DySbPd,94.2
SmYAg2,59.2
TbCoSi,86.9
LaTe,12.4
KErO2,56.1
CrSiO5,13.2
Rb2NaTiF6,26.4
NaH2N,8.7
BeCo2Sb,166.8
Sc6Te2Os,94.7
NaMnAs,44.3
CoSi2,142.4
Yb3Mn,20.1
Be2PCl,83.2
MgBe2V,45.6
LiMgBe2,43.9
K2NaScF6,20.6
LuN,85.5
ScGa5Ni,35.3
BeTcHg,165.8
Zr2OsRu,124.3
LiS,18.4
TmPa3,71.2
Yb(SiAu)2,57.2
Ti3TlC,86.4
HgF,28.3
NaAlF4,8.6
BaPdS2,33.9
Tm2OsPd,100.3
BeFeSb,73.3
ZrBeNb,133.1
HfBeRu,96.2
Y2Al3Si2,45.5
UC,138.9
NaBe2Ru,85.6
ThSi2,81.9
SrAgAs,47.7
RbBS3,8.0
As2Se3,4.5
Ca2Al2SiO7,89.5
SrCN2,36.3
MnAlPt,156.3
U2TeN2,53.2
BaLiIn,20.0
Ba2LiZn,11.3
BaNaTi4,24.6
CaZnSi,30.5
InN,106.4
Be2ZnCo,186.0
CeCd,41.8
Sc3CoC4,124.5
RbUAgS3,21.6
ScRu3C,124.3
Sb(IF3)2,12.8
RbTiS2,31.3
Ho(SiRh)2,119.5
Sr2SbAu,19.1
Sc3GaC,38.0
