pretty_comp,et_c11
VO2F,156.4
Si2Mo,376.9
CoCO3,217.3
Sr(YS2)2,137.7
BeFeBi2,44.4
K2B2Se7,27.0
Ba4InTc,20.1
Nd2CuRu,125.2
Na2PHO3,57.0
BeZnCr,141.4
LiCd,42.4
RbTl2Bi,29.6
NdNiC2,192.8
HoAl2Ni,164.6
TbAlCu2,139.4
GaN,359.6
PbF4,235.8
BaVS3,87.5
Ca3Pb,59.7
RbBiO2,29.1
NaCN,79.2
Ba2SbAu,68.0
YbAgGe,95.1
YCrO4,236.1
TaBe2Fe,228.3
VSiRh,244.2
Ba2NaTa,22.7
Ba2LiSb,33.8
TiPbO3,306.1
Na2ZnS2,58.4
SbS2,13.8
Rb2NbF6,51.5
MnBeGe2,149.8
NbAlPt,137.4
SbO2F,131.0
ZrBe2Si,187.5
MgAuO2,242.3
TbAgSn,137.2
KZnF3,133.5
Rb3Tl,5.4
Ti2BeMo,195.0
BeMoRh,398.0
Dy2In,90.0
MnBe2Cl,132.3
ScGe2,145.1
BeCo4Se,123.7
SnAsIr,162.4
TbSnRh2,119.5
InGeCl3,36.9
ScTlTe2,65.7
LiScS2,136.4
HfCuHg2,111.6
MgSnO3,309.2
Ag3N,41.5
MnSnF6,53.5
YMnAs,103.3
FeCl2,144.7
Pr3Sn,72.9
Sm2As4O9,130.8
Dy(SiIr)2,307.2
Al3Cr,158.2
KSmTe2,58.8
VRu3C,558.6
Sr2CuF6,99.4
EuS,181.1
FeB2,498.2
GaSeBr7,22.8
Zr2SN2,276.4
CaTiO2,303.5
Ni6Ge2B,276.7
BeV2Pt,156.5
BeCo2Cl,158.8
Sr2CaIrO6,174.6
RbSb2,44.2
CoP,287.0
Mg4Ta2O9,282.4
MgSbRu2,285.7
Ho(CoGe)2,201.6
HoTlO2,196.5
Sc2PdPt,179.0
PuNiC2,148.5
ErAlO3,276.9
Tl2O,52.6
KNaTiO3,109.6
K3Zr,8.7
Ba2YNbO6,284.9
CrBrO,62.2
Ba3AsP,74.1
NaBeCo4,130.3
Sr2BeRu,113.8
BaP3,79.8
NaVO2,202.5
Na4Mo(NO)2,98.1
UTlO3,273.6
IOF3,21.5
MgPd5,217.7
Sr(NdS2)2,141.6
Rb2LiAsO4,90.7
Cd(AgI2)2,21.3
LuVO4,275.3
BeNbPb,15.6
Ba2NbTe,29.0
CF2,18.9
TiFe2Sb,191.7
BeZn2Cl,64.9
Sr3Yb,15.9
NaInTe2,23.5
Dy(SiRu)2,255.8
Ga2NiS4,109.4
NpB2,353.2
AcI3,1.8
BeCu2P,176.8
CaCoF6,53.4
Ho6Bi2Rh,93.2
HfBeSb2,123.9
TiMo2As,157.1
PtS,199.0
ErCu,125.4
Yb(ZnAs)2,131.7
PbCO3,134.0
Fe5Si3,360.4
CeZnGa,152.5
BaNiP2,103.7
BeNi3,232.1
NbCu3S4,95.6
CaBeFe2,102.2
Nd2Tl,70.8
Ba2ClF3,94.3
LiCa2Ga,50.0
PrZnSbO,142.7
SrCrF4,80.2
Na4NpO5,77.6
Ti2BeCo,175.5
Mn2AlB2,466.7
EuIO,124.4
HfNi2,270.1
Tb2Mg,64.7
LiBBr2,2.2
SrBePd,80.7
TaAsRh2,160.7
NdCoO3,334.8
Lu2MgS4,95.7
PrSF,171.7
HfSi2,234.1
ZnPt,295.0
Li3AsO4,127.3
Tm2MgTc,117.0
Sr4Sb2O,94.7
Ti2H4Pd,240.3
PmYMg2,54.1
TbNi5,235.2
RbMnBr3,31.1
Sr3GaN3,126.0
HfOs,409.1
Cd3PCl3,53.2
PrAlO3,365.2
NdY3,55.3
Li2RhF6,68.6
LuNiBi,166.1
ZrRh3,317.9
CoAs,238.1
MgCuP,166.8
Ba3Er,16.1
HfNi2Sn,191.9
Sr3AsN,120.5
MnAu,87.2
Mo2AsPd,103.5
Pb2ClO2,92.4
NaYPO4F,247.2
LiBeSb,83.9
KrF2,20.7
Sr2CaBe,44.7
PrCuSe2,127.4
NaLiO3,97.8
YH2,131.2
KTlCl4,26.6
Ce2AlNO3,300.4
GaCuCl4,24.4
PrY3,53.0
MnCu2SnSe4,68.3
Co(BiO3)2,160.9
VNCl4,47.0
Sr3As2,88.6
Y2BeW,111.2
Na3DyCl6,50.6
BaMnV2(AgO4)2,132.2
TiF2,136.4
Sm3TlC,147.7
NaBeSi2,86.6
Ba2CrSn,30.9
P2Ru,300.1
ErCo3B2,388.3
Cr3Fe,366.9
Li3Co,32.5
NaTaGeO5,206.0
Ca3Sb2,87.2
KCaCl3,60.8
Ho2SO2,218.2
BiSeI,50.1
CaBe2Fe,35.9
TbPd3,186.4
HfSb2,129.6
Y2Al3Si2,156.6
KSn2Br5,32.4
ErSnPd2,135.7
HfTaNO3,407.6
TaS2,188.4
Be2RuRh,331.9
Rb3NbO8,80.2
