pretty_comp,mbj_bandgap
Ge3As4,0.7593
DyTl,0.0105
Ta2O5,3.8661
NaZr2Be,0.0065
AlGaN2,3.8906
Ba(CuO)2,1.6268
SmPO4,7.6961
KNbS2,1.2762
Na4W(NO)2,4.4395
YVO4,3.2607
Rb2Pd3S4,1.1653
Mn2OF4,0.11
Pm2O3,5.4166
K3ScSi2O7,5.1922
Ba4FeMo,0.0213
K2NaGaP2,2.4798
Li6FeO5F,1.1136
In3NO3,1.4795
GaAsO4,5.1975
GaFe2Co,0.0201
KGaH4,7.1101
Pr(CoB3)2,0.0163
Ho3AlC,0.0909
ZnTeMoO6,3.7043
Li8BiO6,3.6488
B2AsP,1.75
CuSe2Cl,0.5032
NaNbSe2,1.0426
PW4Cl,0.6696
CdSiAs2,1.327
K(BH)3,5.6741
Ho3Pb,0.0021
HfZn,0.1514
RbGeIO6,3.6248
Yb2PrDyS6,1.6338
Ba4OsBr,0.0375
PdCl2,0.9433
Na3Al,0.0342
KO3,4.999
Ba2BiCl,1.4699
SmBi2BrO4,2.8612
K3AsSe3,3.2518
Li2TlBi,0.4787
CaTi2S5,0.9389
Mg3H4O5,6.2328
Rb3P,1.5527
KPrS2,3.3425
Sm2In,0.0051
PuO2,0.0246
InSe,1.5367
Ba3Ga2(GeO)4,4.2464
Zn2As2O7,3.6613
Na3VS3O,2.1615
SmAl2,0.0237
MnTePd,0.0163
BeCu4Rh,0.0627
Rb2LiInCl6,1.5088
Hf2CuOs,0.0228
MnSbRh,0.0086
DySI,3.0872
ThTe3,0.8977
YN,0.0824
YAlAg2,0.0842
K4BeP,0.0741
K2B2S7,3.6312
Sr3(InP2)2,1.3434
ReSeCl,1.9552
Na2Te4MoO2,3.182
ScGeAu,0.386
BaTeCl,4.7319
Na3AlH6,5.7162
SbAsO4,4.5796
ZrInPd2,0.0195
CaHN,3.7233
PaAgO3,3.3178
MoO3,2.4642
CoSi2,0.0285
H(CO)2,4.191
BaF2,6.8765
Ba4ZrW,0.0188
MgBr2,6.2375
LiGaO2,3.8406
TmI3,2.7435
Pb7(BrF)2,5.1956
TiS3,3.3714
LiAlSi,0.4828
K2TeI6,1.9678
NaErS2,3.3022
Sr4Sb2O,1.4454
TeOF2,6.0534
Li3Y(NiO3)2,0.0046
Li2VFeO4,0.0017
In2Si(AgSe3)2,1.4918
Ti3Si,0.028
Rb2NaMoF6,2.4864
U3Co2Ge7,0.0011
HfMgBe2,0.0045
Rb8NO3,3.4293
Sr2IrO4,0.0144
Rb2NaBiF6,6.7224
Rb4CO4,4.1873
Rb2Si3SnO9,5.8982
AgPbO2,0.5218
HoBO3,6.8658
Dy2CuRu,0.0338
DyTmMg2,0.0123
Sr3(BS3)2,3.2853
BiClO,4.0048
Sr2ZnMoO6,2.7356
Tl(NiSe)2,0.2401
PbIBr,3.2965
BaInMo,0.0314
K3WF6,2.4611
CaF2,7.1016
YP5,0.664
K4Ba(GeO3)3,5.4576
Be2ReGe,0.0022
K2Pt,2.103
MgSbF6,5.8147
Ca3N2,2.2948
ZrSO,1.3337
CrMoF6,0.0036
Na3SbS4,2.8407
CaN6,4.4052
KNaH2,5.5744
ZrPtPb,0.0519
Nd2CdS4,2.7066
Zn3BPO7,5.4361
ErInPd2,0.0275
CaTl3,0.0056
B5H9,6.7561
Sr3AsP,0.6666
Mg2BeCo,0.0077
Yb(HoS2)2,2.8786
LiAsS2,1.5192
VRh,0.0023
KAuF4,2.5306
HfO2,4.8454
TlAgCl3,0.1075
Rb4I2O,2.1773
RbSmS2,3.5601
LiCdAs,0.0797
CuBi(PSe3)2,1.1445
KNa2BO3,6.3813
SmCoC2,0.0296
Bi2B2O7,0.6691
Ca2YSbO5,4.2275
Ba2LiTe,0.0395
Ba(AlTe2)2,2.1069
LiCrS2,0.0262
NaTlO2,2.0677
Y2SO2,4.2780000000000005
Al(MoS2)4,1.3992
MgSi2,0.0006
NaCaAs,2.5997
HfBrN,3.2428
NaAg3O2,1.3466
Rb2PtI6,1.1017
Ge4PbO9,8.2412
Sc2TiO5,3.6498
Ga3Pt2,0.0158
KCaCl3,7.0386
KAs2F7,7.117000000000001
PrAl,0.1061
Ca2AlSnO5,3.5786
Cd(InSe2)2,2.0998
KFeP,0.0266
CuBiS2,0.8784
TbGaO3,6.4008
PbCO3,4.8682
Nd2ZnIr,0.0297
Ga3NO3,2.8407
AcTlTe2,1.4652
Na4CO4,6.4206
BaNaCl,0.6888
TbBS3,3.2437
Li4PbO4,2.6045
TlInAs2O7,3.7521
MnBe2Pt,0.0067
SrH2O3,4.9986
Sc4TaBe,0.0331
Na2SeO4,5.7894
Sr2CaUO6,2.5522
HoHO2,6.3269
SrLi4N2,2.4879
Cu2SnSe4,0.0122
GePbO3,0.6665
YbO2,4.6275
Ag3SI,1.5761
FeAu3,0.0183
Yb(DyS2)2,2.8616
KBa4W,0.0114
NaNdTiO4,2.8898
Sr2HgPb,0.0699
LuHg,0.005
BeV2Tc,0.0035
TaCuN2,1.0173
K2B2Se7,2.6635
MnSnF6,0.0231
RbMgBO3,7.2614
V3Pb,0.0258
Na2Zr(CuS2)2,0.0237
Fe6O7F5,0.003
TlAgTe,1.1889
ScTlTe2,0.235
CrGaCo2,0.0069
Ta2Zn3O8,5.1696
LiMnCo3O8,0.0115
KHCO2,6.0379999999999985
Ba4YBe,0.0431
BiSeCl,2.5903
Ba2NaBe,0.0497
Ru3Cl,0.0083
ZnH8C2(SN3)2,5.2747
RbAuCl4,2.5156
BaTcBi,0.0212
HoB6,0.0291
Be2CoPb,0.0024
MgSiN2,5.4699
KSiH3,3.1985
K6Cu(SiO4)2,4.2479
ScTlO2,3.7433
Rb3AsSe6,1.8796
LuRh3C,0.0861
Ga2TeSe2,2.5925
Rb2H6Pt,5.2734
Be2TcSb,0.0078
Tl2SnCl6,3.2199
BiS2,0.0329
RbIO4,3.8229
BNCl2,3.0856
Na3Ca2TaO6,5.7093
K2Pb2O3,3.1292
AlAgTe2,1.9935
ScS2,0.5255
Sr(CdSb)2,0.5341
HfH3,0.0016
KCuO,1.7825
KPrO2,5.1974
ZnH4(CO3)2,4.5716
HoSI,3.3392
Tb3GaO6,5.823
Sn2OF2,3.7835
Hg2BrN,1.9804
Sr5(AuO4)2,1.9432
DyScO3,5.3774
Be2InTe,0.0077
HgI2,2.593
PPbSe3,2.3533
RbNa2BO3,6.0139
KBePd2,0.032
PmDyCu2,0.0568
