pretty_comp,et_c66
Ge2Os,101.2
RuSe2,75.8
MnBe2Si,145.5
Zn3(PO4)2,31.5
NaBeH3,74.2
Ba2SmNbO6,55.2
Y3InC,61.3
CaCdGe,38.3
BaMnGe,9.4
MnBeSe2,2.0
LuAlO3,119.0
TaBePd2,71.1
Co2Ge,36.8
Al3BN4,202.0
K3PO4,20.6
TiGaNi,92.2
MnNi2Sn,48.4
VI2,7.2
SrDy3,23.5
FeS,89.5
Sr3P6(N4O3)2,48.3
NaTiBe2,62.7
Sc2Sb,34.7
SmP5,34.1
HfBeZn,76.4
HgF2,11.6
HoAl2Ni,95.9
PmDyCu2,30.1
LiGa2Ru,81.4
BaMnCO3F2,30.4
CrCo2Si,80.5
Nb3Pb,8.0
La2CuO4,47.8
AcGaTe2,10.9
Nd2PbSe4,26.3
YbGa4,31.0
K2NaInP2,13.5
Ag2PbO2,16.0
Ti(MoS2)2,75.2
Ba2YZn,16.3
KCaCO3F,20.3
YbAu4,36.7
RbCaO3,0.4
Tl4O3,9.7
MoSe2,13.2
Ca(DyS2)2,35.0
AlFeO3,58.3
Li4CuF5,44.3
Cd2SiO4,52.0
Sm2O3,35.1
Hf2S,98.8
Mg(BH4)2,4.1
Mn2AlCo,75.6
CuAs2,17.6
ZnCdPt2,61.8
Sr2Mn3(SbO)2,47.9
Hf(VGa2)2,72.8
NaTbSe2,24.8
Ti2CoIr,65.1
TiAlAu2,54.4
Lu2IrRh,58.1
Ba3(PS4)2,17.7
BeVRu4,78.7
V3(OF)4,16.9
Be2InPt2,50.7
Pd3Pb,55.5
Rb2SeCl6,12.6
KNO2,4.8
Rb2TiCl6,12.6
NaLi5N2,16.7
BaAgTeF,9.5
BaPIr2,19.7
DyInCu2,44.1
RbMgBO3,28.2
Li5FeF8,16.1
V3Te4,41.9
InPS4,21.8
ThSe2,21.6
SO2,2.5
Tl(CuS)2,14.3
ZnCu2Ni,82.1
Mg(MoO2)4,93.7
Sr2IrO4,57.8
Sr3BiSb,5.7
Sr(AlSe2)2,20.2
Zr2AlN,107.1
Sc2ZnPt,52.8
CoSbO4,48.3
DyBi2ClO4,22.7
HfBeNi,43.1
ErTaOs2,80.2
CrAgSe2,20.2
YHSe,65.3
BeZn2Ru,45.1
Na2CeO3,43.6
Rb2NiF6,11.7
ZnSnO2,11.7
LiFe3O4,34.1
PrBi2ClO4,14.6
Ba2ScHg,19.2
Sr2InI5,6.0
Na3BP2,9.3
ScGa3,27.6
Sr2Si,30.5
ThSe,39.0
InFe2CuSe4,17.7
LiHfPd2,26.5
MnInNi2,25.1
HfAg,77.4
TbCd,37.7
ScRu3,88.1
Ca(AlSi)2,36.4
NbN,72.9
HoPt3,92.4
V3Si,63.2
PbSe,8.8
Nb2VSe4,63.9
RuS2,95.4
RbFeSe2,5.3
Ca3Tl,23.2
BaP3,31.8
Ca3AsN,49.5
HoAl3,58.5
Sr4TiBe,7.1
LuSF,30.6
TaTeBr9,3.8
RuAu3,68.0
AlF3,85.7
BeVPt2,1.7
BeV2Tc,51.5
Sr2ZnCu2(SO)2,41.3
Nd2CuRu,26.6
TiReN3,136.8
KTcO4,15.2
LiGaS2,22.6
ScPO4,99.6
Ta2CrRu,76.9
NbCl3O,12.0
NdAl2,45.8
Sr2LiTl,20.4
Mg2GeO4,117.1
CoGe,79.8
MnCoO3,62.6
BaCuAs,34.0
MgMnGe,41.5
LiWO2,80.1
DyGeAu,54.5
YbOs3,64.4
Ni2P,32.6
ScNiSb,62.5
AsRh,69.4
TlBiSe2,28.9
MnCoTe,9.5
Se2NCl3,7.5
TiZn(BiO3)2,31.0
LiYS2,31.3
Tb2In,30.6
InAuO2,16.0
SmDyHg2,27.1
LiVS2,33.1
YbB2,100.1
Rb2SnBr6,11.4
BeNiIr,126.9
LiH3O2,19.1
Sr3AlO4F,70.2
SrNiSn3,21.6
Ta2Co,70.0
Li3FeF6,25.7
VPd2,52.6
Fe2N,103.8
RbC2I3N2,7.1
BaF2,25.0
ZrAlNi2,0.2
Ca2Fe2O5,61.7
Be2InTc,86.7
CrCdO4,33.3
Mn4ZnO8,20.2
Be2C,203.7
Rb2NaTiF6,24.6
Rb2HfF6,17.6
Ti3Ni,4.1
K2S,8.9
NdTeF,48.6
UNiAs2,50.6
Na2CaBe,8.8
YBi2ClO4,22.0
KRb2CrF6,11.6
BeVFe,87.1
Ce(SiAg)2,61.5
ScH2,78.2
SmC2,4.1
AcFeO3,96.6
RbAlF4,20.9
KH3C2O3,9.0
DySe,11.9
ScP,51.5
MnPt,188.5
Sr3AsN,36.1
LaAlO3,161.9
ScF3,28.7
H2O2,12.7
NaSi2N3,131.6
LiMgAs,38.8
Mg2Al2Se5,13.1
Rb2RhF6,15.7
UAu2,43.7
U2Ga2O5,45.9
CaHI,12.2
Yb2AsAu,31.3
BaNa2Mn,9.5
MoCl3,4.9
Sn(CO2)2,19.2
CuAu3,30.4
TiB,5.2
Pm2InAg,28.2
Ho2CuRu,44.3
Lu3Ga,32.4
Sr2BeRu,4.4
Li5AlO4,71.4
LiPd,43.1
BaYSc2,28.6
U2Ni2Sn,39.8
VC,185.7
KHO,25.5
LiMnPd2,62.4
Pm2O3,75.6
ZrS2,9.6
K2CuF4,16.1
CaScBe,30.4
Li2UO4,21.4
Ca(BH4)2,11.3
ThCN,24.8
Sr2H6Ru,29.3
GaCo2Ni,138.1
InCuO2,17.7
Li2CrFeO4,97.5
ZnSiN2,111.3
BeNi4Os,73.7
Ba(MgAs)2,39.9
