TIME,VOLUME [m^3],SALT_MASS [psu m^3],HEAT_CONTENT [degrees celsius m^3]
01/05/2011 00:00:00,  0.1781889E+08,  0.1781893E+09,  0.3563787E+09
01/05/2011 00:15:00,  0.1800213E+08,  0.1839771E+09,  0.3596363E+09
01/05/2011 00:30:00,  0.1813823E+08,  0.1881292E+09,  0.3619652E+09
01/05/2011 00:45:00,  0.1815997E+08,  0.1884082E+09,  0.3619941E+09
01/05/2011 01:00:00,  0.1803748E+08,  0.1848427E+09,  0.3591528E+09
01/05/2011 01:15:00,  0.1785123E+08,  0.1805949E+09,  0.3550329E+09
01/05/2011 01:30:00,  0.1764492E+08,  0.1769431E+09,  0.3505264E+09
01/05/2011 01:45:00,  0.1742316E+08,  0.1737655E+09,  0.3457083E+09
01/05/2011 02:00:00,  0.1727350E+08,  0.1718307E+09,  0.3423364E+09
01/05/2011 02:15:00,  0.1723257E+08,  0.1714493E+09,  0.3411416E+09
01/05/2011 02:30:00,  0.1726997E+08,  0.1725134E+09,  0.3415083E+09
01/05/2011 02:45:00,  0.1731375E+08,  0.1736251E+09,  0.3419930E+09
01/05/2011 03:00:00,  0.1731296E+08,  0.1736048E+09,  0.3416052E+09
01/05/2011 03:15:00,  0.1727331E+08,  0.1728181E+09,  0.3404486E+09
01/05/2011 03:30:00,  0.1721231E+08,  0.1716995E+09,  0.3388600E+09
01/05/2011 03:45:00,  0.1714157E+08,  0.1704906E+09,  0.3370905E+09
01/05/2011 04:00:00,  0.1708148E+08,  0.1694934E+09,  0.3355197E+09
01/05/2011 04:15:00,  0.1707634E+08,  0.1694387E+09,  0.3350583E+09
01/05/2011 04:30:00,  0.1714335E+08,  0.1712218E+09,  0.3360397E+09
01/05/2011 04:45:00,  0.1724731E+08,  0.1742456E+09,  0.3377646E+09
01/05/2011 05:00:00,  0.1735011E+08,  0.1772156E+09,  0.3394630E+09
01/05/2011 05:15:00,  0.1743523E+08,  0.1795792E+09,  0.3408189E+09
01/05/2011 05:30:00,  0.1751649E+08,  0.1818033E+09,  0.3420972E+09
01/05/2011 05:45:00,  0.1758826E+08,  0.1836732E+09,  0.3431759E+09
01/05/2011 06:00:00,  0.1764629E+08,  0.1850781E+09,  0.3439915E+09
01/05/2011 06:15:00,  0.1771470E+08,  0.1868509E+09,  0.3450181E+09
01/05/2011 06:30:00,  0.1782060E+08,  0.1899373E+09,  0.3467964E+09
01/05/2011 06:45:00,  0.1795977E+08,  0.1941652E+09,  0.3492284E+09
01/05/2011 07:00:00,  0.1810050E+08,  0.1984579E+09,  0.3516991E+09
01/05/2011 07:15:00,  0.1822706E+08,  0.2022678E+09,  0.3538915E+09
01/05/2011 07:30:00,  0.1834214E+08,  0.2056557E+09,  0.3558501E+09
01/05/2011 07:45:00,  0.1843546E+08,  0.2083019E+09,  0.3573894E+09
01/05/2011 08:00:00,  0.1851214E+08,  0.2103450E+09,  0.3585899E+09
01/05/2011 08:15:00,  0.1857479E+08,  0.2119195E+09,  0.3595270E+09
01/05/2011 08:30:00,  0.1863592E+08,  0.2134269E+09,  0.3604333E+09
01/05/2011 08:45:00,  0.1870333E+08,  0.2151602E+09,  0.3614785E+09
01/05/2011 09:00:00,  0.1877630E+08,  0.2170761E+09,  0.3626333E+09
01/05/2011 09:15:00,  0.1883822E+08,  0.2186129E+09,  0.3635798E+09
01/05/2011 09:30:00,  0.1886914E+08,  0.2190674E+09,  0.3639115E+09
01/05/2011 09:45:00,  0.1887529E+08,  0.2186611E+09,  0.3637538E+09
01/05/2011 10:00:00,  0.1886778E+08,  0.2177823E+09,  0.3633276E+09
01/05/2011 10:15:00,  0.1885058E+08,  0.2165720E+09,  0.3627123E+09
01/05/2011 10:30:00,  0.1881821E+08,  0.2148462E+09,  0.3618098E+09
01/05/2011 10:45:00,  0.1878612E+08,  0.2131409E+09,  0.3609306E+09
01/05/2011 11:00:00,  0.1876415E+08,  0.2117893E+09,  0.3602703E+09
01/05/2011 11:15:00,  0.1873471E+08,  0.2101822E+09,  0.3594717E+09
01/05/2011 11:30:00,  0.1866409E+08,  0.2072344E+09,  0.3578584E+09
01/05/2011 11:45:00,  0.1856189E+08,  0.2033166E+09,  0.3556184E+09
01/05/2011 12:00:00,  0.1844584E+08,  0.1990663E+09,  0.3531051E+09
01/05/2011 12:15:00,  0.1832769E+08,  0.1949009E+09,  0.3505505E+09
01/05/2011 12:30:00,  0.1821511E+08,  0.1910982E+09,  0.3481208E+09
01/05/2011 12:45:00,  0.1811666E+08,  0.1878608E+09,  0.3459765E+09
01/05/2011 13:00:00,  0.1804482E+08,  0.1854937E+09,  0.3443753E+09
01/05/2011 13:15:00,  0.1798333E+08,  0.1834892E+09,  0.3429849E+09
01/05/2011 13:30:00,  0.1791040E+08,  0.1812810E+09,  0.3413754E+09
01/05/2011 13:45:00,  0.1782275E+08,  0.1788538E+09,  0.3394861E+09
01/05/2011 14:00:00,  0.1772032E+08,  0.1762300E+09,  0.3373081E+09
01/05/2011 14:15:00,  0.1762116E+08,  0.1738457E+09,  0.3352089E+09
01/05/2011 14:30:00,  0.1753377E+08,  0.1718235E+09,  0.3333484E+09
01/05/2011 14:45:00,  0.1746253E+08,  0.1702011E+09,  0.3318119E+09
01/05/2011 15:00:00,  0.1740762E+08,  0.1689279E+09,  0.3306004E+09
01/05/2011 15:15:00,  0.1737408E+08,  0.1680893E+09,  0.3298207E+09
01/05/2011 15:30:00,  0.1736114E+08,  0.1676414E+09,  0.3294458E+09
01/05/2011 15:45:00,  0.1735559E+08,  0.1673378E+09,  0.3292201E+09
01/05/2011 16:00:00,  0.1734568E+08,  0.1669398E+09,  0.3289080E+09
01/05/2011 16:15:00,  0.1733717E+08,  0.1665679E+09,  0.3286239E+09
01/05/2011 16:30:00,  0.1735098E+08,  0.1666489E+09,  0.3287520E+09
01/05/2011 16:45:00,  0.1738148E+08,  0.1671530E+09,  0.3291940E+09
01/05/2011 17:00:00,  0.1742219E+08,  0.1679481E+09,  0.3298081E+09
01/05/2011 17:15:00,  0.1747360E+08,  0.1691349E+09,  0.3306156E+09
01/05/2011 17:30:00,  0.1755179E+08,  0.1712535E+09,  0.3319417E+09
01/05/2011 17:45:00,  0.1764201E+08,  0.1737977E+09,  0.3334956E+09
01/05/2011 18:00:00,  0.1773057E+08,  0.1762576E+09,  0.3349882E+09
01/05/2011 18:15:00,  0.1781339E+08,  0.1785383E+09,  0.3363556E+09
01/05/2011 18:30:00,  0.1791609E+08,  0.1814931E+09,  0.3380997E+09
01/05/2011 18:45:00,  0.1802829E+08,  0.1848023E+09,  0.3400312E+09
01/05/2011 19:00:00,  0.1814110E+08,  0.1881308E+09,  0.3419611E+09
01/05/2011 19:15:00,  0.1825479E+08,  0.1914710E+09,  0.3438865E+09
01/05/2011 19:30:00,  0.1836746E+08,  0.1947972E+09,  0.3457903E+09
01/05/2011 19:45:00,  0.1848216E+08,  0.1981751E+09,  0.3477125E+09
01/05/2011 20:00:00,  0.1858160E+08,  0.2010392E+09,  0.3493299E+09
01/05/2011 20:15:00,  0.1867049E+08,  0.2035048E+09,  0.3507084E+09
01/05/2011 20:30:00,  0.1874390E+08,  0.2054485E+09,  0.3517846E+09
01/05/2011 20:45:00,  0.1881311E+08,  0.2072444E+09,  0.3527695E+09
01/05/2011 21:00:00,  0.1888029E+08,  0.2089697E+09,  0.3537086E+09
01/05/2011 21:15:00,  0.1893870E+08,  0.2103894E+09,  0.3544668E+09
01/05/2011 21:30:00,  0.1897553E+08,  0.2110540E+09,  0.3547900E+09
01/05/2011 21:45:00,  0.1899797E+08,  0.2112264E+09,  0.3548303E+09
01/05/2011 22:00:00,  0.1901379E+08,  0.2111558E+09,  0.3547268E+09
01/05/2011 22:15:00,  0.1901336E+08,  0.2105009E+09,  0.3542841E+09
01/05/2011 22:30:00,  0.1897940E+08,  0.2087007E+09,  0.3531833E+09
01/05/2011 22:45:00,  0.1892838E+08,  0.2063193E+09,  0.3517396E+09
01/05/2011 23:00:00,  0.1887688E+08,  0.2039392E+09,  0.3502815E+09
01/05/2011 23:15:00,  0.1882070E+08,  0.2014230E+09,  0.3487297E+09
01/05/2011 23:30:00,  0.1874139E+08,  0.1981707E+09,  0.3467205E+09
01/05/2011 23:45:00,  0.1865117E+08,  0.1946391E+09,  0.3444992E+09
02/05/2011 00:00:00,  0.1856348E+08,  0.1912968E+09,  0.3423349E+09
02/05/2011 00:15:00,  0.1847383E+08,  0.1880075E+09,  0.3401324E+09
