TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1]
01/05/2011 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
01/05/2011 00:15:00,  0.2000002E+02, -0.1419758E+01,  0.1985813E+03,  0.1759409E+03,  0.6171346E+04,  0.3518823E+04
01/05/2011 00:30:00,  0.2000010E+02, -0.9777236E+00,  0.1990242E+03,  0.7547833E+02,  0.2652960E+04,  0.1509574E+04
01/05/2011 00:45:00,  0.2000009E+02, -0.9112605E+00,  0.1990905E+03, -0.7407583E+02, -0.2011741E+04, -0.1480758E+04
01/05/2011 01:00:00,  0.2000010E+02, -0.1544342E+01,  0.1984573E+03, -0.2135698E+03, -0.5018157E+04, -0.4266473E+04
01/05/2011 01:15:00,  0.1999999E+02, -0.2264538E+01,  0.1977360E+03, -0.2318442E+03, -0.4276402E+04, -0.4628450E+04
01/05/2011 01:30:00,  0.2000003E+02, -0.2826187E+01,  0.1971748E+03, -0.2719678E+03, -0.3952281E+04, -0.5426042E+04
01/05/2011 01:45:00,  0.2000007E+02, -0.3117262E+01,  0.1968842E+03, -0.2394293E+03, -0.2917242E+04, -0.4773747E+04
01/05/2011 02:00:00,  0.2000005E+02, -0.3265464E+01,  0.1967359E+03, -0.1290201E+03, -0.1380311E+04, -0.2569888E+04
01/05/2011 02:15:00,  0.2000014E+02, -0.3350117E+01,  0.1966523E+03, -0.1091938E+02,  0.4816909E+03, -0.2145696E+03
01/05/2011 02:30:00,  0.2000014E+02, -0.3293539E+01,  0.1967090E+03,  0.3854239E+02,  0.1554927E+04,  0.7719396E+03
01/05/2011 02:45:00,  0.2000010E+02, -0.3207597E+01,  0.1967946E+03,  0.7935157E+01,  0.6585370E+03,  0.1608746E+03
01/05/2011 03:00:00,  0.2000004E+02, -0.3241978E+01,  0.1967596E+03, -0.4800120E+02, -0.5920964E+03, -0.9536588E+03
01/05/2011 03:15:00,  0.2000004E+02, -0.3375504E+01,  0.1966263E+03, -0.7677193E+02, -0.1082693E+04, -0.1526105E+04
01/05/2011 03:30:00,  0.2000006E+02, -0.3490511E+01,  0.1965117E+03, -0.9537527E+02, -0.1330382E+04, -0.1895658E+04
01/05/2011 03:45:00,  0.2000008E+02, -0.3481956E+01,  0.1965205E+03, -0.9871558E+02, -0.1308638E+04, -0.1961335E+04
01/05/2011 04:00:00,  0.2000004E+02, -0.3399052E+01,  0.1966031E+03, -0.6609814E+02, -0.7780275E+03, -0.1311825E+04
01/05/2011 04:15:00,  0.2000006E+02, -0.3308937E+01,  0.1966935E+03,  0.1634151E+02,  0.8468018E+03,  0.3290919E+03
01/05/2011 04:30:00,  0.1999993E+02, -0.3235960E+01,  0.1967651E+03,  0.8366410E+02,  0.2945353E+04,  0.1673393E+04
01/05/2011 04:45:00,  0.2000010E+02, -0.3134874E+01,  0.1968681E+03,  0.1007185E+03,  0.3536608E+04,  0.2014453E+04
01/05/2011 05:00:00,  0.2000008E+02, -0.3023868E+01,  0.1969787E+03,  0.8146243E+02,  0.2859029E+04,  0.1629313E+04
